"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             6";"                             3";"                             1";"                             3";"                             1";"                             1";"                             2";"-";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             9";"                            12";"                             7";"                             5";"                             6";"                             4";"                             5";"                             7";"-";"                             6"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             9";"                            10";"                             6";"                             6";"                             8";"                             9";"                             5";"                             7";"-";"                             8"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             2";"                             5";"                            20";"                             8";"                             1";"                             1";"-";"                             7"
;"137 Ekstraordinære udgifter i alt";"";"                           116";"                           110";"                           104";"                           132";"                           157";"                            54";"                            37";"                            55";"-";"                           110"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            83";"                            69";"                            80";"                            58";"                            48";"                            18";"                             9";"                             2";"-";"                            52"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             4";"                             8";"                             8";"                            10";"                             6";"                             4";"                             7";"                             2";"-";"                             7"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             2";"                             6";"                            45";"                            73";"                            12";"                             2";"                             0";"-";"                            28"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"-";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             1";"                             1";"                             0";"                             0";"                             1";"                             0";"                             2";"                             3";"-";"                             1"
;"129.1 Afholdte udgifter";"";"                             2";"                             2";"                             2";"                             2";"                             5";"                             2";"                             4";"                            18";"-";"                             3"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -1";"                            -4";"                            -1";"                            -3";"                           -14";"-";"                            -3"
;"130 Tab ved fraflytning";"";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             4";"-";"                             1"
;"130.1 Afholdte udgifter";"";"                             9";"                             9";"                             7";"                             8";"                            10";"                             9";"                             6";"                             7";"-";"                             8"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -8";"                            -8";"                            -6";"                            -6";"                            -8";"                            -8";"                            -5";"                            -3";"-";"                            -7"
;"131 Andre renter";"";"                             4";"                             4";"                             1";"                             1";"                             3";"                             1";"                             1";"                            23";"-";"                             3"
;"132 Ydelser vedr. driftsstøtte";"";"                            16";"                            21";"                             4";"                             6";"                             6";"                             6";"                             7";"                             3";"-";"                             7"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             3";"                             3";"                             3";"                             1";"                             5";"                             8";"                             5";"                            10";"-";"                             4"
;"134 Korrektion vedr. tidligere år";"";"                             2";"                             1";"                             2";"                             5";"                             7";"                             3";"                             3";"                             8";"-";"                             4"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"-";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"-";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -1";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"-";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             3";"                             6";"                             0";"                             0";"                             0";"-";"                             2"
;"139 Udgifter i alt";"";"                           700";"                           764";"                           748";"                           778";"                           882";"                           899";"                           992";"                         1.105";"-";"                           834"
;"140 Overskud i alt";"";"                            43";"                            23";"                            20";"                            16";"                            12";"                            22";"                            25";"                            37";"-";"                            20"
;"140.1 Afvikling af opsamlet underskud";"";"                             5";"                             4";"                             6";"                             3";"                             4";"                             6";"                             5";"                             8";"-";"                             5"
;"140.2 Henlæggelser";"";"                            38";"                            20";"                            14";"                            13";"                             8";"                            16";"                            20";"                            29";"-";"                            15"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"-";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           743";"                           787";"                           769";"                           794";"                           893";"                           922";"                         1.017";"                         1.142";"-";"                           854"
"Sjælland   ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            74";"                            39";"                            40";"                            77";"                           219";"                           349";"                           414";"                           570";"-";"                           255"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           237";"                           228";"                           226";"                           197";"                           182";"                           169";"                           173";"                           155";"-";"                           185"
;"106 Ejendomsskatter";"";"                            29";"                            34";"                            28";"                            26";"                            33";"                            36";"                            27";"                            21";"-";"                            30"
;"107 Vandafgift";"";"                            39";"                            32";"                            34";"                            37";"                            36";"                            23";"                            25";"                             8";"-";"                            29"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             1";"                             1";"                             4";"                             1";"                             2";"                             0";"-";"                             2"
;"109 Renovation";"";"                            29";"                            31";"                            30";"                            28";"                            28";"                            31";"                            30";"                            28";"-";"                            29"
;"110 Forsikringer";"";"                            10";"                            13";"                            14";"                            15";"                            15";"                            13";"                            13";"                            12";"-";"                            14"
;"111 Afdelingens energiforbrug";"";"                            27";"                            17";"                            17";"                            24";"                            22";"                            14";"                            25";"                            36";"-";"                            21"
;"112 Bidrag til boligorganisationen";"";"                            56";"                            51";"                            49";"                            47";"                            44";"                            50";"                            52";"                            51";"-";"                            48"
;"112.1 Administrationsbidrag";"";"                            55";"                            49";"                            46";"                            45";"                            42";"                            48";"                            50";"                            49";"-";"                            46"
;"112.2 Dispositionsfond";"";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"-";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            48";"                            51";"                            54";"                            20";"                             0";"                             0";"                             0";"                             0";"-";"                            11"
;"119.9 Variable udgifter i alt";"";"                           168";"                           129";"                           123";"                           142";"                           126";"                           124";"                           128";"                           117";"-";"                           127"
;"114 Renholdelse";"";"                            90";"                            69";"                            73";"                            86";"                            80";"                            77";"                            81";"                            72";"-";"                            78"
;"115 Almindelig vedligeholdelse";"";"                            71";"                            50";"                            34";"                            31";"                            29";"                            28";"                            29";"                            28";"-";"                            31"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                            -0";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"-";"                             1"
;"116.1 Afholdte udgifter";"";"                           126";"                            99";"                           109";"                            98";"                            88";"                           100";"                            80";"                            51";"-";"                            91"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -126";"                           -99";"                          -108";"                           -97";"                           -87";"                           -98";"                           -80";"                           -51";"-";"                           -90"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"-";"                             1"
;"117.1 Afholdte udgifter";"";"                            24";"                            20";"                            21";"                            20";"                            20";"                            21";"                            22";"                            12";"-";"                            20"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -24";"                           -19";"                           -21";"                           -20";"                           -19";"                           -20";"                           -21";"                           -11";"-";"                           -19"
;"118 Særlige aktiviteter";"";"                             3";"                             5";"                            10";"                            18";"                             9";"                            11";"                            10";"                             9";"-";"                            11"
;"119 Diverse udgifter";"";"                             5";"                             4";"                             5";"                             5";"                             6";"                             5";"                             7";"                             6";"-";"                             6"
;"124.8 Henlæggelser i alt";"";"                           155";"                           147";"                           147";"                           133";"                           149";"                           129";"                           108";"                            90";"-";"                           132"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           120";"                           114";"                           114";"                           101";"                            91";"                            99";"                            81";"                            69";"-";"                            95"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            33";"                            26";"                            25";"                            20";"                            21";"                            18";"                            17";"                            12";"-";"                            20"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             1";"                             1";"                             2";"                             1";"                             3";"                             4";"                             1";"-";"                             2"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             1";"                             0";"                             1";"                             0";"                             1";"                             2";"                             0";"-";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             2";"                             2";"                             1";"-";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             1";"                             6";"                             6";"                             8";"                             7";"                             7";"                             7";"                             6";"-";"                             7"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             1";"                             2";"                            29";"                             2";"                             0";"                             2";"-";"                             8"
;"137 Ekstraordinære udgifter i alt";"";"                           143";"                           114";"                           104";"                           130";"                           105";"                            36";"                            21";"                            19";"-";"                            75"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           111";"                            97";"                            81";"                            53";"                            39";"                            19";"                             7";"                             3";"-";"                            37"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                             5";"                             8";"                             6";"                             8";"                             3";"                             2";"                             1";"-";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                            18";"                             6";"                             8";"                            55";"                            43";"                             4";"                             3";"                             0";"-";"                            21"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"-";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             0";"                             4";"                             4";"-";"                             1"
;"129.1 Afholdte udgifter";"";"                             1";"                            10";"                             3";"                             6";"                             5";"                             3";"                             8";"                            17";"-";"                             6"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                           -10";"                            -3";"                            -6";"                            -3";"                            -3";"                            -4";"                           -13";"-";"                            -5"
;"130 Tab ved fraflytning";"";"                             1";"                             1";"                             1";"                             5";"                             3";"                             2";"                             1";"                             1";"-";"                             2"
;"130.1 Afholdte udgifter";"";"                             4";"                             6";"                             7";"                            13";"                            11";"                             8";"                             7";"                             7";"-";"                             9"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -3";"                            -5";"                            -5";"                            -8";"                            -8";"                            -6";"                            -6";"                            -5";"-";"                            -7"
;"131 Andre renter";"";"                             0";"                             0";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1";"-";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             2";"                             2";"                             3";"                             0";"                             0";"                             0";"-";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                            13";"                             3";"                             3";"                             3";"                             2";"                             2";"                             3";"                             4";"-";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             4";"                             2";"                             3";"-";"                             2"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"-";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"-";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"-";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             3";"                             3";"                             0";"                             0";"                             0";"-";"                             1"
;"139 Udgifter i alt";"";"                           778";"                           656";"                           640";"                           679";"                           782";"                           807";"                           846";"                           951";"-";"                           773"
;"140 Overskud i alt";"";"                            11";"                            14";"                            16";"                            12";"                            16";"                            25";"                            17";"                            24";"-";"                            18"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             2";"                             5";"                             2";"                             3";"                             6";"                             2";"                             1";"-";"                             3"
;"140.2 Henlæggelser";"";"                            11";"                            12";"                            11";"                            10";"                            13";"                            19";"                            15";"                            23";"-";"                            15"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"-";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           789";"                           670";"                           656";"                           691";"                           798";"                           832";"                           863";"                           975";"-";"                           792"
"Syddanmark ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            16";"                            42";"                            42";"                            86";"                           187";"                           334";"                           388";"                           500";"                           396";"                           212"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           168";"                           185";"                           191";"                           163";"                           147";"                           139";"                           136";"                           126";"                            83";"                           155"
;"106 Ejendomsskatter";"";"                            16";"                            27";"                            29";"                            25";"                            26";"                            21";"                            19";"                            17";"                            16";"                            24"
;"107 Vandafgift";"";"                            21";"                            16";"                            17";"                            16";"                            18";"                            14";"                            13";"                             5";"                             0";"                            15"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             2";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"109 Renovation";"";"                            25";"                            25";"                            25";"                            25";"                            26";"                            30";"                            27";"                            23";"                            17";"                            26"
;"110 Forsikringer";"";"                             9";"                            10";"                            11";"                            10";"                            11";"                            10";"                            10";"                            11";"                            10";"                            10"
;"111 Afdelingens energiforbrug";"";"                            14";"                            10";"                            14";"                            17";"                            21";"                            15";"                            18";"                            21";"                             9";"                            17"
;"112 Bidrag til boligorganisationen";"";"                            49";"                            43";"                            43";"                            43";"                            43";"                            47";"                            50";"                            48";"                            31";"                            45"
;"112.1 Administrationsbidrag";"";"                            47";"                            41";"                            41";"                            42";"                            42";"                            46";"                            48";"                            45";"                            28";"                            43"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             3";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            31";"                            54";"                            53";"                            26";"                             2";"                             0";"                             0";"                             0";"                             0";"                            17"
;"119.9 Variable udgifter i alt";"";"                           104";"                            92";"                           107";"                           109";"                           113";"                           106";"                           108";"                            93";"                           111";"                           106"
;"114 Renholdelse";"";"                            62";"                            47";"                            57";"                            62";"                            63";"                            60";"                            64";"                            56";"                            71";"                            60"
;"115 Almindelig vedligeholdelse";"";"                            29";"                            32";"                            34";"                            30";"                            33";"                            28";"                            25";"                            21";"                            11";"                            30"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             3";"                             1";"                             0";"                             3";"                             0";"                             2";"                             0";"                             2"
;"116.1 Afholdte udgifter";"";"                            80";"                           101";"                            95";"                            86";"                            85";"                            90";"                            80";"                            49";"                             0";"                            86"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -80";"                           -99";"                           -92";"                           -86";"                           -85";"                           -87";"                           -80";"                           -47";"                             0";"                           -84"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             0"
;"117.1 Afholdte udgifter";"";"                            14";"                            19";"                            18";"                            18";"                            16";"                            15";"                            14";"                             8";"                             1";"                            16"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -14";"                           -18";"                           -17";"                           -18";"                           -16";"                           -14";"                           -14";"                            -8";"                            -1";"                           -15"
;"118 Særlige aktiviteter";"";"                             8";"                             5";"                             8";"                            10";"                            10";"                             8";"                             8";"                             6";"                             0";"                             8"
;"119 Diverse udgifter";"";"                             5";"                             6";"                             6";"                             6";"                             6";"                             6";"                             9";"                             8";"                            30";"                             7"
;"124.8 Henlæggelser i alt";"";"                            78";"                           113";"                           111";"                           108";"                           116";"                            96";"                            88";"                            72";"                           103";"                           102"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            58";"                            94";"                            89";"                            78";"                            81";"                            73";"                            69";"                            58";"                            51";"                            78"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            11";"                            14";"                            17";"                            18";"                            16";"                            13";"                            13";"                             8";"                            36";"                            15"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             5";"                             2";"                             1";"                             2";"                             1";"                             1";"                             1";"                             2";"                             0";"                             1"
;"122.1 Fælleskonto (konto 403)";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             4";"                             2";"                             1";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             3";"                             4";"                             7";"                             9";"                             5";"                             5";"                             3";"                            16";"                             6"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             0";"                             4";"                             9";"                             4";"                             0";"                             0";"                             0";"                             3"
;"137 Ekstraordinære udgifter i alt";"";"                           228";"                           121";"                           119";"                           107";"                           141";"                            30";"                            21";"                            26";"                             0";"                            86"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           216";"                            94";"                            94";"                            73";"                            63";"                            16";"                             7";"                             4";"                             0";"                            53"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             9";"                            13";"                            11";"                             6";"                             6";"                             2";"                             2";"                             2";"                             0";"                             6"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             8";"                             9";"                            19";"                            46";"                             3";"                             1";"                             0";"                             0";"                            15"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             1";"                             2";"                             6";"                             1";"                             2";"                             2";"                             0";"                             2"
;"129.1 Afholdte udgifter";"";"                             1";"                             2";"                             5";"                             6";"                            14";"                             8";"                             9";"                             8";"                           121";"                             8"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -2";"                            -4";"                            -4";"                            -8";"                            -7";"                            -7";"                            -7";"                          -121";"                            -6"
;"130 Tab ved fraflytning";"";"                             1";"                             1";"                             1";"                             1";"                             3";"                             2";"                             2";"                             1";"                             0";"                             2"
;"130.1 Afholdte udgifter";"";"                             6";"                             4";"                             4";"                             7";"                            13";"                             8";"                             6";"                             3";"                             0";"                             7"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -5";"                            -3";"                            -4";"                            -5";"                           -11";"                            -6";"                            -4";"                            -2";"                             0";"                            -6"
;"131 Andre renter";"";"                             0";"                             2";"                             1";"                             0";"                             2";"                             0";"                             1";"                             4";"                             0";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             2";"                             0";"                             0";"                             0";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             2";"                             2";"                             2";"                             3";"                             2";"                             2";"                             4";"                             9";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             1";"                             2";"                             8";"                             1";"                             2";"                             5";"                             0";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                            -0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0";"                             0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             2";"                             1";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           594";"                           553";"                           571";"                           573";"                           704";"                           704";"                           740";"                           816";"                           694";"                           662"
;"140 Overskud i alt";"";"                            13";"                            11";"                            13";"                            12";"                            10";"                            14";"                            15";"                            19";"                           132";"                            13"
;"140.1 Afvikling af opsamlet underskud";"";"                             2";"                             2";"                             2";"                             2";"                             2";"                             1";"                             1";"                             4";"                             0";"                             2"
;"140.2 Henlæggelser";"";"                            12";"                             9";"                            11";"                            10";"                             9";"                            12";"                            14";"                            15";"                           132";"                            11"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           607";"                           564";"                           584";"                           585";"                           714";"                           718";"                           755";"                           835";"                           826";"                           675"
"Midtjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             4";"                            52";"                            58";"                            74";"                           152";"                           333";"                           379";"                           469";"                           121";"                           196"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           238";"                           194";"                           201";"                           179";"                           147";"                           147";"                           149";"                           131";"                           100";"                           165"
;"106 Ejendomsskatter";"";"                            61";"                            28";"                            29";"                            28";"                            28";"                            26";"                            23";"                            22";"                            29";"                            27"
;"107 Vandafgift";"";"                            26";"                            22";"                            24";"                            27";"                            16";"                            19";"                            16";"                             9";"                             0";"                            20"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            24";"                            22";"                            22";"                            21";"                            24";"                            25";"                            24";"                            21";"                            11";"                            23"
;"110 Forsikringer";"";"                            10";"                            10";"                            11";"                            11";"                            13";"                            10";"                            11";"                            10";"                            11";"                            11"
;"111 Afdelingens energiforbrug";"";"                            11";"                            14";"                            14";"                            18";"                            23";"                            16";"                            22";"                            20";"                            12";"                            18"
;"112 Bidrag til boligorganisationen";"";"                            42";"                            48";"                            48";"                            46";"                            43";"                            50";"                            53";"                            48";"                            37";"                            47"
;"112.1 Administrationsbidrag";"";"                            42";"                            46";"                            46";"                            44";"                            42";"                            48";"                            50";"                            46";"                            35";"                            46"
;"112.2 Dispositionsfond";"";"                             0";"                             2";"                             2";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            64";"                            50";"                            53";"                            27";"                             1";"                             0";"                             0";"                             0";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                           120";"                           118";"                           119";"                           126";"                           132";"                           125";"                           127";"                           111";"                            96";"                           124"
;"114 Renholdelse";"";"                            62";"                            61";"                            67";"                            71";"                            70";"                            73";"                            74";"                            64";"                            51";"                            69"
;"115 Almindelig vedligeholdelse";"";"                            44";"                            42";"                            35";"                            36";"                            45";"                            33";"                            35";"                            27";"                            29";"                            37"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             0";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"                             1"
;"116.1 Afholdte udgifter";"";"                           113";"                            87";"                           101";"                           114";"                            81";"                            80";"                            84";"                            44";"                             0";"                            88"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -113";"                           -86";"                          -101";"                          -114";"                           -81";"                           -78";"                           -83";"                           -43";"                             0";"                           -87"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
