"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;"Alle"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             5";"                             4";"                             4";"                             7";"                             6";"                             4";"                             4";"                             5"
"124 Andre henlæggelser (konto 406)";"";"                             1";"                             0";"                             3";"                             2";"                            12";"                             4";"                             0";"                             1";"                             4"
"137 Ekstraordinære udgifter i alt";"";"                           112";"                            96";"                            87";"                            96";"                           100";"                            33";"                            27";"                            27";"                            83"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            90";"                            71";"                            70";"                            55";"                            39";"                             8";"                             9";"                             2";"                            48"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                             4";"                             6";"                             8";"                             6";"                             6";"                             3";"                             2";"                             1";"                             5"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             2";"                             1";"                            20";"                            34";"                             4";"                             1";"                             0";"                            14"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             1";"                             2";"                             1";"                             2";"                             4";"                             1";"                             1";"                             0";"                             2"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             3";"                             3";"                             3";"                             6";"                             2"
"129.1 Afholdte udgifter";"";"                             1";"                             1";"                             1";"                             3";"                             6";"                             5";"                             5";"                             7";"                             3"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -1";"                            -4";"                            -2";"                            -1";"                            -2";"                            -2"
"130 Tab ved fraflytning";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             2";"                             1";"                             1";"                             1"
"130.1 Afholdte udgifter";"";"                             5";"                             4";"                             3";"                             4";"                             8";"                             6";"                             3";"                             2";"                             5"
"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -4";"                            -3";"                            -4";"                            -5";"                            -5";"                            -2";"                            -2";"                            -4"
"131 Andre renter";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             5";"                             1"
"132 Ydelser vedr. driftsstøtte";"";"                            11";"                            12";"                             2";"                             4";"                             5";"                             4";"                             4";"                             2";"                             5"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             2";"                             1";"                             3";"                             5";"                             3";"                             4";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             1";"                             0";"                             1";"                             4";"                             1";"                             3";"                             2";"                             5";"                             2"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0";"                            -0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"                             0";"                             1"
"139 Udgifter i alt";"";"                           575";"                           579";"                           576";"                           591";"                           663";"                           734";"                           781";"                           797";"                           637"
"140 Overskud i alt";"";"                            21";"                            17";"                            16";"                            13";"                            11";"                            15";"                            18";"                            23";"                            15"
"140.1 Afvikling af opsamlet underskud";"";"                             4";"                             3";"                             4";"                             2";"                             2";"                             4";"                             3";"                             5";"                             3"
"140.2 Henlæggelser";"";"                            17";"                            14";"                            12";"                            10";"                             9";"                            10";"                            15";"                            18";"                            11"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           596";"                           596";"                           592";"                           604";"                           674";"                           748";"                           800";"                           820";"                           651"

