"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"115 Almindelig vedligeholdelse";"";"                            28";"                            31";"                            34";"                            33";"                            35";"                            33";"                            31";"                            27";"                            30";"                            33"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             0";"                             2";"                             1";"                             2";"                             2";"                             1"
"116.1 Afholdte udgifter";"";"                           159";"                           112";"                           143";"                           116";"                           104";"                           112";"                           123";"                            79";"                            39";"                           116"
"116.2 Heraf dækkes af henlæggelser";"";"                          -159";"                          -110";"                          -142";"                          -115";"                          -103";"                          -110";"                          -122";"                           -78";"                           -37";"                          -115"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"117.1 Afholdte udgifter";"";"                            23";"                            21";"                            18";"                            15";"                            15";"                            16";"                            15";"                            13";"                             5";"                            16"
"117.2 Heraf dækkes af henlæggelser";"";"                           -22";"                           -21";"                           -18";"                           -15";"                           -14";"                           -15";"                           -15";"                           -13";"                            -5";"                           -16"
"118 Særlige aktiviteter";"";"                            10";"                            11";"                            13";"                            14";"                            12";"                            14";"                            10";"                            12";"                             6";"                            12"
"119 Diverse udgifter";"";"                             8";"                             9";"                             8";"                             9";"                             9";"                            10";"                            10";"                            10";"                            11";"                             9"
"124.8 Henlæggelser i alt";"";"                           221";"                           205";"                           210";"                           185";"                           194";"                           189";"                           172";"                           133";"                           109";"                           190"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           182";"                           165";"                           167";"                           148";"                           138";"                           147";"                           142";"                           110";"                            86";"                           148"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            17";"                            18";"                            16";"                            15";"                            14";"                            19";"                            18";"                            11";"                             8";"                            15"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            14";"                            12";"                             8";"                             7";"                             8";"                             5";"                             6";"                             7";"                             5";"                             8"
"122.1 Fælleskonto (konto 403)";"";"                             4";"                             5";"                             3";"                             2";"                             3";"                             1";"                             2";"                             1";"                             2";"                             3"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            11";"                             8";"                             6";"                             5";"                             5";"                             4";"                             5";"                             5";"                             3";"                             5"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             6";"                             5";"                             4";"                             4";"                             5";"                             5";"                             5";"                             3";"                             3";"                             5"
"124 Andre henlæggelser (konto 406)";"";"                             1";"                             5";"                            14";"                            11";"                            28";"                            13";"                             1";"                             1";"                             6";"                            13"
"137 Ekstraordinære udgifter i alt";"";"                           135";"                           145";"                           137";"                           167";"                           197";"                            72";"                            48";"                            23";"                            28";"                           138"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           104";"                           108";"                            99";"                           101";"                            76";"                            38";"                            22";"                             8";"                             3";"                            79"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                            12";"                             9";"                            11";"                            11";"                            10";"                             5";"                             3";"                             3";"                             1";"                             9"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             6";"                             9";"                            12";"                            36";"                            75";"                            14";"                             6";"                             0";"                             0";"                            30"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1";"                             0";"                             3";"                             1"
"129.1 Afholdte udgifter";"";"                             1";"                             2";"                             4";"                             3";"                             6";"                             2";"                             4";"                             4";"                             5";"                             4"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -2";"                            -2";"                            -2";"                            -5";"                            -2";"                            -2";"                            -4";"                            -2";"                            -3"
"130 Tab ved fraflytning";"";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"130.1 Afholdte udgifter";"";"                             9";"                             6";"                             5";"                             6";"                             8";"                             8";"                             6";"                             4";"                             1";"                             6"
"130.2 Heraf dækkes af henlæggelser";"";"                            -6";"                            -4";"                            -3";"                            -4";"                            -4";"                            -4";"                            -3";"                            -2";"                            -1";"                            -4"
"131 Andre renter";"";"                             1";"                             1";"                             1";"                             2";"                             6";"                             2";"                             1";"                             1";"                             4";"                             2"
"132 Ydelser vedr. driftsstøtte";"";"                             9";"                            12";"                             8";"                             8";"                            17";"                             5";"                            10";"                             2";"                             0";"                            10"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             2";"                             3";"                             1";"                             1";"                             2";"                             1";"                             2";"                             4";"                             7";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             1";"                             2";"                             2";"                             4";"                             6";"                             6";"                             2";"                             4";"                             8";"                             4"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             2";"                             3";"                             3";"                             1";"                             0";"                             0";"                             1";"                             2"
"139 Udgifter i alt";"";"                           794";"                           800";"                           801";"                           801";"                           898";"                           953";"                         1.007";"                         1.038";"                           999";"                           864"
"140 Overskud i alt";"";"                            47";"                            34";"                            30";"                            33";"                            33";"                            29";"                            36";"                            30";"                            36";"                            33"
"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             5";"                             7";"                             7";"                             9";"                             3";"                             4";"                             2";"                             1";"                             6"
"140.2 Henlæggelser";"";"                            44";"                            29";"                            23";"                            26";"                            25";"                            26";"                            32";"                            28";"                            34";"                            27"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           841";"                           835";"                           830";"                           833";"                           932";"                           982";"                         1.043";"                         1.068";"                         1.034";"                           897"

