"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
;"117.1 Afholdte udgifter";"";"                            17";"                            23";"                            18";"                            15";"                            17";"                            16";"                            16";"                             9";"                            17"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -17";"                           -22";"                           -17";"                           -15";"                           -14";"                           -15";"                           -14";"                            -8";"                           -16"
;"118 Særlige aktiviteter";"";"                             9";"                            11";"                            12";"                            12";"                            14";"                            16";"                            16";"                            20";"                            13"
;"119 Diverse udgifter";"";"                             6";"                             7";"                             7";"                             9";"                            10";"                             8";"                             9";"                            11";"                             9"
;"124.8 Henlæggelser i alt";"";"                           131";"                           151";"                           140";"                           125";"                           131";"                           107";"                           102";"                            79";"                           127"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           106";"                           118";"                           111";"                           101";"                            91";"                            79";"                            81";"                            60";"                            97"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             9";"                             9";"                            10";"                            11";"                             9";"                            13";"                            10";"                             6";"                            10"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            10";"                            18";"                            10";"                             6";"                             8";"                             5";"                             7";"                             9";"                             8"
;"122.1 Fælleskonto (konto 403)";"";"                             2";"                             6";"                             3";"                             1";"                             2";"                             1";"                             1";"                             1";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             8";"                            12";"                             7";"                             5";"                             5";"                             4";"                             6";"                             8";"                             6"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             6";"                             5";"                             4";"                             7";"                             5";"                             4";"                             4";"                             5"
;"124 Andre henlæggelser (konto 406)";"";"                             1";"                             0";"                             4";"                             3";"                            16";"                             5";"                             1";"                             0";"                             6"
;"137 Ekstraordinære udgifter i alt";"";"                            97";"                            87";"                            84";"                            99";"                           105";"                            33";"                            20";"                            50";"                            80"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            69";"                            56";"                            67";"                            48";"                            32";"                             8";"                             3";"                             0";"                            40"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             5";"                             4";"                             7";"                             6";"                             5";"                             3";"                             2";"                             1";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             2";"                             1";"                            29";"                            46";"                             6";"                             1";"                             0";"                            18"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             1";"                             1";"                             0";"                             4";"                             4";"                             0";"                             0";"                             0";"                             2"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             3";"                             0"
;"129.1 Afholdte udgifter";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             4";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1";"                            -0";"                            -0";"                            -0";"                            -1"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0"
;"130.1 Afholdte udgifter";"";"                             5";"                             5";"                             4";"                             4";"                             6";"                             5";"                             4";"                             3";"                             5"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -5";"                            -5";"                            -4";"                            -4";"                            -6";"                            -5";"                            -3";"                            -3";"                            -4"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                            27";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                            15";"                            21";"                             4";"                             5";"                             9";"                             5";"                             7";"                             4";"                             8"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             2";"                             1";"                             2";"                             2";"                             3";"                             6";"                             4";"                             7";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             2";"                             1";"                             1";"                             3";"                             2";"                             3";"                             2";"                             5";"                             2"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0";"                            -0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             1";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           590";"                           633";"                           635";"                           662";"                           745";"                           791";"                           871";"                           964";"                           709"
;"140 Overskud i alt";"";"                            22";"                            19";"                            16";"                            15";"                            12";"                            17";"                            18";"                            29";"                            16"
;"140.1 Afvikling af opsamlet underskud";"";"                             5";"                             5";"                             7";"                             4";"                             4";"                             6";"                             4";"                             8";"                             5"
;"140.2 Henlæggelser";"";"                            17";"                            15";"                             9";"                            10";"                             8";"                            10";"                            14";"                            20";"                            11"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           612";"                           652";"                           652";"                           676";"                           757";"                           807";"                           888";"                           993";"                           725"
"Sjælland   ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            70";"                            34";"                            39";"                            77";"                           218";"                           337";"                           384";"                           515";"                           239"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           204";"                           198";"                           191";"                           178";"                           155";"                           151";"                           154";"                           125";"                           161"
;"106 Ejendomsskatter";"";"                            25";"                            27";"                            23";"                            20";"                            26";"                            31";"                            25";"                            18";"                            26"
;"107 Vandafgift";"";"                            31";"                            25";"                            25";"                            35";"                            29";"                            21";"                            21";"                             5";"                            25"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             6";"                             1";"                             2";"                             0";"                             2"
;"109 Renovation";"";"                            22";"                            28";"                            27";"                            26";"                            26";"                            29";"                            27";"                            26";"                            27"
;"110 Forsikringer";"";"                            13";"                            12";"                            13";"                            14";"                            13";"                            12";"                            12";"                            11";"                            13"
;"111 Afdelingens energiforbrug";"";"                            21";"                            16";"                            14";"                            21";"                            18";"                            13";"                            22";"                            23";"                            18"
;"112 Bidrag til boligorganisationen";"";"                            50";"                            43";"                            42";"                            41";"                            38";"                            43";"                            44";"                            43";"                            42"
;"112.1 Administrationsbidrag";"";"                            47";"                            42";"                            40";"                            39";"                            36";"                            41";"                            42";"                            40";"                            39"
;"112.2 Dispositionsfond";"";"                             3";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            43";"                            46";"                            47";"                            19";"                             0";"                             0";"                             0";"                             0";"                            10"
;"119.9 Variable udgifter i alt";"";"                           128";"                           107";"                           104";"                           115";"                           110";"                           103";"                           105";"                            99";"                           107"
;"114 Renholdelse";"";"                            65";"                            59";"                            62";"                            72";"                            69";"                            63";"                            65";"                            59";"                            65"
;"115 Almindelig vedligeholdelse";"";"                            56";"                            39";"                            30";"                            26";"                            25";"                            22";"                            23";"                            24";"                            26"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             1";"                             0"
;"116.1 Afholdte udgifter";"";"                            74";"                            90";"                            97";"                            80";"                            81";"                            82";"                            61";"                            36";"                            78"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -74";"                           -90";"                           -96";"                           -79";"                           -80";"                           -81";"                           -61";"                           -35";"                           -77"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            21";"                            22";"                            21";"                            20";"                            19";"                            18";"                            19";"                             9";"                            19"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -21";"                           -21";"                           -20";"                           -19";"                           -18";"                           -17";"                           -18";"                            -9";"                           -18"
;"118 Særlige aktiviteter";"";"                             1";"                             5";"                             7";"                            10";"                             9";"                            10";"                             9";"                            10";"                             9"
;"119 Diverse udgifter";"";"                             6";"                             4";"                             4";"                             5";"                             6";"                             5";"                             6";"                             5";"                             5"
;"124.8 Henlæggelser i alt";"";"                           150";"                           127";"                           117";"                            99";"                           111";"                            97";"                            86";"                            72";"                           101"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           112";"                            99";"                            91";"                            76";"                            70";"                            75";"                            64";"                            52";"                            74"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            35";"                            21";"                            21";"                            17";"                            19";"                            15";"                            13";"                            11";"                            17"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             2";"                             1";"                             2";"                             1";"                             3";"                             4";"                             2";"                             2"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             1";"                             0";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             1";"                             0";"                             1";"                             1";"                             2";"                             3";"                             1";"                             2"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             4";"                             4";"                             5";"                             5";"                             5";"                             4";"                             5";"                             5";"                             5"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             2";"                             0";"                             0";"                            16";"                             0";"                             0";"                             2";"                             4"
;"137 Ekstraordinære udgifter i alt";"";"                            80";"                            90";"                            83";"                           103";"                            79";"                            24";"                            13";"                            10";"                            57"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            78";"                            76";"                            71";"                            50";"                            32";"                            11";"                             4";"                             1";"                            30"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                             6";"                             5";"                             3";"                             8";"                             2";"                             3";"                             1";"                             4"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             1";"                             2";"                            35";"                            26";"                             1";"                             1";"                             0";"                            12"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             2";"                             1";"                             1";"                             3";"                             1";"                             0";"                             0";"                             1"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             2";"                             0";"                             0";"                             0";"                             1";"                             0";"                             2";"                             1"
;"129.1 Afholdte udgifter";"";"                             1";"                             4";"                             1";"                             1";"                             1";"                             2";"                             1";"                             3";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1"
;"130.1 Afholdte udgifter";"";"                             1";"                             4";"                             3";"                             6";"                             8";"                             6";"                             4";"                             3";"                             6"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -1";"                            -4";"                            -3";"                            -5";"                            -6";"                            -4";"                            -3";"                            -2";"                            -4"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             0";"                             0";"                             2";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             1";"                             8";"                             1";"                             0";"                             0";"                             0";"                             2"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             2";"                             2";"                             3";"                             3";"                             2";"                             1";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             3";"                             1";"                             2";"                             2"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             2";"                             1";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           632";"                           555";"                           535";"                           571";"                           673";"                           712";"                           742";"                           822";"                           666"
;"140 Overskud i alt";"";"                             5";"                            13";"                            18";"                            12";"                            15";"                            15";"                            19";"                            28";"                            16"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             3";"                             4";"                             3";"                             4";"                             4";"                             4";"                             3";"                             4"
;"140.2 Henlæggelser";"";"                             5";"                            10";"                            14";"                            10";"                            10";"                            11";"                            16";"                            24";"                            12"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           638";"                           568";"                           554";"                           584";"                           687";"                           727";"                           761";"                           850";"                           682"
"Syddanmark ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             8";"                            23";"                            39";"                            77";"                           186";"                           320";"                           362";"                           449";"                           199"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           145";"                           171";"                           170";"                           150";"                           129";"                           124";"                           122";"                           105";"                           138"
;"106 Ejendomsskatter";"";"                            14";"                            23";"                            23";"                            21";"                            21";"                            20";"                            17";"                            15";"                            20"
;"107 Vandafgift";"";"                            16";"                            16";"                            17";"                            19";"                            17";"                            13";"                            11";"                             4";"                            15"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             2";"                             0";"                             1";"                             1";"                             0";"                             1";"                             0";"                             0";"                             1"
;"109 Renovation";"";"                            20";"                            21";"                            20";"                            20";"                            21";"                            24";"                            22";"                            19";"                            21"
;"110 Forsikringer";"";"                             9";"                            10";"                            10";"                            10";"                            11";"                            10";"                            11";"                            10";"                            10"
;"111 Afdelingens energiforbrug";"";"                            12";"                             9";"                            12";"                            16";"                            18";"                            14";"                            16";"                            16";"                            15"
;"112 Bidrag til boligorganisationen";"";"                            44";"                            40";"                            38";"                            38";"                            38";"                            43";"                            45";"                            41";"                            40"
;"112.1 Administrationsbidrag";"";"                            42";"                            39";"                            37";"                            37";"                            36";"                            41";"                            43";"                            39";"                            39"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            28";"                            52";"                            48";"                            25";"                             2";"                             0";"                             0";"                             0";"                            16"
;"119.9 Variable udgifter i alt";"";"                            84";"                            79";"                            90";"                            94";"                            94";"                            86";"                            88";"                            79";"                            89"
;"114 Renholdelse";"";"                            48";"                            36";"                            47";"                            51";"                            51";"                            49";"                            50";"                            46";"                            49"
;"115 Almindelig vedligeholdelse";"";"                            23";"                            29";"                            32";"                            29";"                            30";"                            23";"                            23";"                            19";"                            27"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                            -0";"                             5";"                             1";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                            51";"                            75";"                            74";"                            64";"                            76";"                            66";"                            57";"                            29";"                            66"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -51";"                           -70";"                           -73";"                           -64";"                           -75";"                           -65";"                           -56";"                           -28";"                           -65"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            15";"                            16";"                            15";"                            19";"                            16";"                            14";"                            12";"                             5";"                            15"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -14";"                           -15";"                           -15";"                           -18";"                           -15";"                           -13";"                           -12";"                            -5";"                           -14"
;"118 Særlige aktiviteter";"";"                             9";"                             4";"                             6";"                             9";"                             6";"                             7";"                             8";"                             7";"                             7"
;"119 Diverse udgifter";"";"                             4";"                             4";"                             4";"                             4";"                             5";"                             5";"                             5";"                             7";"                             5"
;"124.8 Henlæggelser i alt";"";"                            80";"                           103";"                           102";"                            94";"                           102";"                            80";"                            78";"                            66";"                            90"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            60";"                            83";"                            83";"                            70";"                            73";"                            64";"                            61";"                            52";"                            70"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            11";"                            16";"                            15";"                            17";"                            15";"                            12";"                            10";"                             8";"                            14"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             5";"                             2";"                             1";"                             1";"                             0";"                             1";"                             2";"                             2";"                             1"
;"122.1 Fælleskonto (konto 403)";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             4";"                             2";"                             1";"                             1";"                             0";"                             1";"                             1";"                             1";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             4";"                             2";"                             3";"                             4";"                             8";"                             3";"                             4";"                             4";"                             5"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             0";"                             1";"                             5";"                             0";"                             0";"                             0";"                             1"
;"137 Ekstraordinære udgifter i alt";"";"                           209";"                           114";"                            95";"                            85";"                            98";"                            21";"                            16";"                            20";"                            66"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           200";"                            84";"                            73";"                            56";"                            34";"                             9";"                             3";"                             3";"                            38"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             6";"                            15";"                            12";"                             7";"                             5";"                             2";"                             2";"                             1";"                             6"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             4";"                             1";"                             7";"                            23";"                             2";"                             0";"                             0";"                             7"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             5";"                             6";"                             1";"                            14";"                             1";"                             0";"                             0";"                             5"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             1";"                             2";"                             9";"                             3";"                             4";"                             3";"                             3"
;"129.1 Afholdte udgifter";"";"                             0";"                             0";"                             2";"                             4";"                            13";"                             5";"                             6";"                             4";"                             6"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -0";"                            -1";"                            -2";"                            -4";"                            -2";"                            -2";"                            -2";"                            -2"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             1";"                             1";"                             3";"                             1";"                             1";"                             1";"                             1"
;"130.1 Afholdte udgifter";"";"                             3";"                             2";"                             2";"                             3";"                             8";"                             4";"                             3";"                             1";"                             4"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -3";"                            -1";"                            -2";"                            -3";"                            -5";"                            -3";"                            -2";"                            -1";"                            -3"
;"131 Andre renter";"";"                             0";"                             2";"                             1";"                             0";"                             2";"                             0";"                             1";"                             3";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             2";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             0";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             1";"                             8";"                             3";"                             0";"                             3";"                             8";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                            -0";"                            -0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           526";"                           490";"                           497";"                           499";"                           608";"                           630";"                           666";"                           720";"                           583"
;"140 Overskud i alt";"";"                            14";"                            15";"                            18";"                            13";"                            10";"                            12";"                            15";"                            22";"                            14"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             5";"                             2"
;"140.2 Henlæggelser";"";"                            14";"                            14";"                            16";"                            12";"                             9";"                            10";"                            14";"                            17";"                            12"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           540";"                           505";"                           515";"                           512";"                           618";"                           642";"                           681";"                           742";"                           596"
"Midtjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             2";"                            55";"                            42";"                            80";"                           149";"                           317";"                           359";"                           429";"                           186"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           212";"                           172";"                           185";"                           162";"                           133";"                           135";"                           137";"                           116";"                           149"
;"106 Ejendomsskatter";"";"                            51";"                            23";"                            25";"                            23";"                            22";"                            23";"                            22";"                            18";"                            23"
;"107 Vandafgift";"";"                            25";"                            19";"                            24";"                            25";"                            17";"                            18";"                            14";"                             8";"                            19"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            21";"                            18";"                            19";"                            19";"                            21";"                            22";"                            21";"                            19";"                            20"
;"110 Forsikringer";"";"                            10";"                            10";"                            10";"                            10";"                            12";"                             9";"                            10";"                             9";"                            10"
;"111 Afdelingens energiforbrug";"";"                            11";"                            13";"                            13";"                            17";"                            20";"                            15";"                            21";"                            19";"                            17"
;"112 Bidrag til boligorganisationen";"";"                            38";"                            43";"                            43";"                            42";"                            39";"                            46";"                            47";"                            43";"                            43"
;"112.1 Administrationsbidrag";"";"                            38";"                            42";"                            42";"                            40";"                            38";"                            44";"                            45";"                            41";"                            41"
;"112.2 Dispositionsfond";"";"                             0";"                             1";"                             2";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            57";"                            45";"                            50";"                            25";"                             2";"                             0";"                             0";"                             0";"                            16"
;"119.9 Variable udgifter i alt";"";"                            91";"                            97";"                            97";"                           104";"                           110";"                           101";"                           101";"                            95";"                           102"
;"114 Renholdelse";"";"                            46";"                            48";"                            53";"                            56";"                            56";"                            58";"                            59";"                            54";"                            56"
;"115 Almindelig vedligeholdelse";"";"                            34";"                            35";"                            30";"                            32";"                            38";"                            28";"                            27";"                            23";"                            31"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"116.1 Afholdte udgifter";"";"                           114";"                           115";"                            69";"                            64";"                            66";"                            74";"                            52";"                            28";"                            67"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -114";"                          -115";"                           -69";"                           -63";"                           -66";"                           -73";"                           -52";"                           -27";"                           -66"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             2";"                             1";"                             1";"                             2";"                             1";"                             0";"                             1";"                             1"
;"117.1 Afholdte udgifter";"";"                            33";"                            23";"                            26";"                            24";"                            24";"                            19";"                            15";"                            10";"                            21"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -33";"                           -21";"                           -25";"                           -23";"                           -21";"                           -18";"                           -15";"                            -9";"                           -20"
;"118 Særlige aktiviteter";"";"                             3";"                             6";"                             7";"                             9";"                             8";"                             8";"                             8";"                             9";"                             8"
;"119 Diverse udgifter";"";"                             8";"                             5";"                             6";"                             6";"                             7";"                             5";"                             6";"                             6";"                             6"
;"124.8 Henlæggelser i alt";"";"                           143";"                           109";"                           121";"                           122";"                           110";"                            95";"                            88";"                            70";"                           106"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           100";"                            84";"                            89";"                            87";"                            80";"                            71";"                            69";"                            53";"                            78"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             0";"                            16";"                            20";"                            19";"                            14";"                            14";"                            11";"                            10";"                            15"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            41";"                             6";"                             7";"                             8";"                             8";"                             5";"                             5";"                             4";"                             7"
;"122.1 Fælleskonto (konto 403)";"";"                             4";"                             0";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            37";"                             5";"                             6";"                             7";"                             7";"                             4";"                             5";"                             4";"                             6"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             2";"                             3";"                             3";"                             4";"                             5";"                             4";"                             3";"                             3";"                             4"
