"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            80";"                            61";"                            73";"                            52";"                            41";"                            13";"                             7";"                             0";"                            46"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             2";"                             6";"                             8";"                             6";"                             5";"                             4";"                             2";"                             2";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             1";"                             3";"                             5";"                            34";"                            58";"                            10";"                             1";"                             0";"                            23"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             3";"                             0"
;"129.1 Afholdte udgifter";"";"                             1";"                             2";"                             1";"                             2";"                             2";"                             1";"                             1";"                             4";"                             2"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -2";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
;"130.1 Afholdte udgifter";"";"                             5";"                             7";"                             5";"                             4";"                             6";"                             6";"                             4";"                             3";"                             5"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -6";"                            -4";"                            -4";"                            -6";"                            -5";"                            -4";"                            -3";"                            -5"
;"131 Andre renter";"";"                             2";"                             1";"                             1";"                             2";"                             4";"                             1";"                             0";"                            10";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                            15";"                            22";"                             4";"                             6";"                             8";"                             5";"                             7";"                             3";"                             8"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             1";"                             1";"                             2";"                             4";"                             4";"                             7";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             7";"                             1";"                             1";"                             5";"                             5";"                             3";"                             2";"                             7";"                             4"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             2";"                             3";"                             0";"                             1";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           655";"                           694";"                           689";"                           711";"                           823";"                           841";"                           925";"                         1.022";"                           769"
;"140 Overskud i alt";"";"                            63";"                            12";"                            14";"                            13";"                            12";"                            11";"                            16";"                            34";"                            16"
;"140.1 Afvikling af opsamlet underskud";"";"                            13";"                             2";"                             3";"                             4";"                             2";"                             3";"                             4";"                             9";"                             4"
;"140.2 Henlæggelser";"";"                            50";"                             9";"                            11";"                             9";"                             9";"                             7";"                            12";"                            25";"                            12"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           719";"                           706";"                           703";"                           723";"                           835";"                           852";"                           941";"                         1.057";"                           785"
"Sjælland   ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            72";"                            38";"                            44";"                            74";"                           218";"                           345";"                           399";"                           538";"                           249"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           231";"                           213";"                           208";"                           191";"                           168";"                           156";"                           162";"                           138";"                           172"
;"106 Ejendomsskatter";"";"                            28";"                            30";"                            24";"                            23";"                            28";"                            32";"                            24";"                            21";"                            27"
;"107 Vandafgift";"";"                            32";"                            26";"                            30";"                            37";"                            33";"                            20";"                            22";"                             6";"                            26"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             4";"                             1";"                             2";"                             0";"                             2"
;"109 Renovation";"";"                            30";"                            31";"                            29";"                            28";"                            28";"                            32";"                            30";"                            28";"                            30"
;"110 Forsikringer";"";"                            13";"                            12";"                            13";"                            14";"                            14";"                            12";"                            13";"                            11";"                            13"
;"111 Afdelingens energiforbrug";"";"                            28";"                            17";"                            16";"                            24";"                            21";"                            14";"                            24";"                            27";"                            20"
;"112 Bidrag til boligorganisationen";"";"                            54";"                            47";"                            45";"                            44";"                            40";"                            45";"                            48";"                            45";"                            44"
;"112.1 Administrationsbidrag";"";"                            52";"                            45";"                            42";"                            42";"                            38";"                            43";"                            45";"                            43";"                            42"
;"112.2 Dispositionsfond";"";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            47";"                            50";"                            52";"                            21";"                             0";"                             0";"                             0";"                             0";"                            11"
;"119.9 Variable udgifter i alt";"";"                           144";"                           110";"                           113";"                           124";"                           116";"                           109";"                           114";"                           105";"                           114"
;"114 Renholdelse";"";"                            72";"                            61";"                            67";"                            77";"                            73";"                            67";"                            69";"                            62";"                            70"
;"115 Almindelig vedligeholdelse";"";"                            49";"                            39";"                            32";"                            26";"                            26";"                            24";"                            26";"                            26";"                            27"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                            88";"                           101";"                           111";"                            98";"                            87";"                            96";"                            76";"                            48";"                            90"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -88";"                          -101";"                          -110";"                           -97";"                           -87";"                           -95";"                           -75";"                           -47";"                           -89"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                            10";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
;"117.1 Afholdte udgifter";"";"                            43";"                            22";"                            25";"                            20";"                            21";"                            20";"                            20";"                            12";"                            20"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -33";"                           -21";"                           -24";"                           -20";"                           -20";"                           -19";"                           -19";"                           -11";"                           -19"
;"118 Særlige aktiviteter";"";"                             7";"                             4";"                             8";"                            14";"                             9";"                            11";"                            10";"                            10";"                            10"
;"119 Diverse udgifter";"";"                             7";"                             4";"                             4";"                             6";"                             6";"                             6";"                             7";"                             5";"                             6"
;"124.8 Henlæggelser i alt";"";"                           156";"                           136";"                           129";"                           114";"                           116";"                           107";"                            92";"                            77";"                           110"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           121";"                           106";"                           102";"                            86";"                            82";"                            83";"                            68";"                            59";"                            83"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            33";"                            21";"                            23";"                            17";"                            20";"                            16";"                            15";"                            11";"                            18"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             1";"                             1";"                             2";"                             1";"                             3";"                             4";"                             1";"                             2"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             1";"                             0";"                             1";"                             0";"                             1";"                             1";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             1";"                             0";"                             1";"                             1";"                             2";"                             3";"                             1";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             2";"                             4";"                             4";"                             5";"                             6";"                             4";"                             6";"                             4";"                             5"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             3";"                             0";"                             3";"                             8";"                             0";"                             0";"                             2";"                             3"
;"137 Ekstraordinære udgifter i alt";"";"                           134";"                           103";"                            95";"                           116";"                            91";"                            27";"                            14";"                            18";"                            64"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           110";"                            88";"                            78";"                            57";"                            36";"                            14";"                             5";"                             1";"                            34"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                             4";"                             4";"                             4";"                             7";"                             3";"                             3";"                             0";"                             4"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                            18";"                             3";"                             7";"                            48";"                            38";"                             2";"                             1";"                             0";"                            17"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             4";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129.1 Afholdte udgifter";"";"                             0";"                             5";"                             1";"                             1";"                             1";"                             1";"                             2";"                             3";"                             2"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                             0";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1";"                            -2";"                            -3";"                            -1"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             0";"                             1";"                             1";"                             1";"                             0";"                             1";"                             1"
;"130.1 Afholdte udgifter";"";"                             2";"                             5";"                             4";"                             8";"                             7";"                             6";"                             5";"                             4";"                             6"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -2";"                            -4";"                            -4";"                            -7";"                            -6";"                            -5";"                            -5";"                            -3";"                            -5"
;"131 Andre renter";"";"                             0";"                             0";"                             0";"                             0";"                             2";"                             1";"                             0";"                             8";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             2";"                             1";"                             1";"                             0";"                             0";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             3";"                             2";"                             1";"                             2";"                             1";"                             2";"                             2";"                             3";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             2";"                             2";"                             2";"                             1";"                             3";"                             4";"                             2";"                             4";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                            -0";"                             0";"                            -0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             2";"                             2";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           737";"                           599";"                           590";"                           620";"                           709";"                           744";"                           782";"                           877";"                           709"
;"140 Overskud i alt";"";"                             9";"                            13";"                            12";"                            15";"                            12";"                            20";"                            18";"                            24";"                            16"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             4";"                             3";"                             7";"                             3";"                             4";"                             3";"                             2";"                             4"
;"140.2 Henlæggelser";"";"                             9";"                             9";"                             9";"                             8";"                             9";"                            16";"                            14";"                            21";"                            12"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           746";"                           613";"                           602";"                           635";"                           720";"                           764";"                           800";"                           901";"                           725"
"Syddanmark ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             8";"                            32";"                            39";"                            76";"                           189";"                           330";"                           375";"                           484";"                           206"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           157";"                           179";"                           180";"                           161";"                           138";"                           130";"                           126";"                           114";"                           146"
;"106 Ejendomsskatter";"";"                            14";"                            24";"                            26";"                            24";"                            23";"                            20";"                            17";"                            16";"                            22"
;"107 Vandafgift";"";"                            18";"                            16";"                            17";"                            20";"                            18";"                            13";"                            11";"                             4";"                            15"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             2";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            23";"                            23";"                            23";"                            23";"                            23";"                            27";"                            25";"                            21";"                            24"
;"110 Forsikringer";"";"                            10";"                             9";"                            10";"                            10";"                            10";"                            10";"                            10";"                            11";"                            10"
;"111 Afdelingens energiforbrug";"";"                            14";"                            10";"                            13";"                            17";"                            20";"                            15";"                            16";"                            19";"                            16"
;"112 Bidrag til boligorganisationen";"";"                            46";"                            41";"                            40";"                            40";"                            41";"                            44";"                            46";"                            43";"                            42"
;"112.1 Administrationsbidrag";"";"                            44";"                            39";"                            38";"                            39";"                            39";"                            42";"                            43";"                            41";"                            40"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            30";"                            55";"                            52";"                            27";"                             2";"                             0";"                             0";"                             0";"                            17"
;"119.9 Variable udgifter i alt";"";"                            86";"                            80";"                            94";"                            99";"                            99";"                            93";"                            96";"                            82";"                            94"
;"114 Renholdelse";"";"                            52";"                            40";"                            50";"                            56";"                            55";"                            53";"                            55";"                            48";"                            53"
;"115 Almindelig vedligeholdelse";"";"                            22";"                            29";"                            32";"                            29";"                            30";"                            26";"                            26";"                            19";"                            28"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1";"                             0";"                             2";"                             1"
;"116.1 Afholdte udgifter";"";"                            59";"                            93";"                            89";"                            74";"                            77";"                            75";"                            68";"                            46";"                            75"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -59";"                           -92";"                           -88";"                           -73";"                           -77";"                           -74";"                           -67";"                           -44";"                           -75"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            15";"                            17";"                            18";"                            19";"                            16";"                            14";"                            14";"                             7";"                            16"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -15";"                           -17";"                           -17";"                           -18";"                           -15";"                           -13";"                           -13";"                            -6";"                           -15"
;"118 Særlige aktiviteter";"";"                             8";"                             5";"                             7";"                            10";"                             9";"                             7";"                             8";"                             6";"                             8"
;"119 Diverse udgifter";"";"                             4";"                             5";"                             4";"                             4";"                             5";"                             5";"                             5";"                             7";"                             5"
;"124.8 Henlæggelser i alt";"";"                            81";"                           109";"                           106";"                           101";"                           108";"                            87";"                            83";"                            68";"                            96"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            60";"                            89";"                            85";"                            74";"                            77";"                            69";"                            65";"                            55";"                            74"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            12";"                            15";"                            16";"                            19";"                            15";"                            12";"                            12";"                             8";"                            14"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             5";"                             2";"                             1";"                             2";"                             1";"                             1";"                             2";"                             2";"                             1"
;"122.1 Fælleskonto (konto 403)";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             4";"                             2";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             4";"                             3";"                             4";"                             5";"                             8";"                             4";"                             4";"                             3";"                             5"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             0";"                             2";"                             7";"                             1";"                             0";"                             0";"                             2"
;"137 Ekstraordinære udgifter i alt";"";"                           215";"                           118";"                           109";"                            95";"                           113";"                            25";"                            14";"                            15";"                            74"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           204";"                            92";"                            87";"                            67";"                            49";"                            12";"                             5";"                             3";"                            47"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             9";"                            14";"                            10";"                             7";"                             5";"                             2";"                             2";"                             2";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             8";"                             8";"                            11";"                            42";"                             3";"                             0";"                             0";"                            12"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             5";"                             1";"                             1";"                             1";"                             1"
;"129.1 Afholdte udgifter";"";"                             1";"                             1";"                             2";"                             2";"                             8";"                             3";"                             4";"                             4";"                             4"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -2";"                            -1";"                            -3";"                            -2";"                            -3";"                            -3";"                            -2"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
;"130.1 Afholdte udgifter";"";"                             3";"                             3";"                             4";"                             5";"                            10";"                             6";"                             4";"                             2";"                             5"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -3";"                            -3";"                            -3";"                            -4";"                            -8";"                            -4";"                            -3";"                            -1";"                            -5"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             1";"                             3";"                             0";"                             1";"                             3";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             3";"                             1"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             1";"                             6";"                             2";"                             1";"                             1";"                             3";"                             2"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                            -0";"                             0";"                             0";"                            -0";"                            -0";"                            -0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             3";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           546";"                           518";"                           528";"                           534";"                           647";"                           665";"                           693";"                           762";"                           617"
;"140 Overskud i alt";"";"                            16";"                            17";"                            15";"                            11";"                            18";"                            15";"                            18";"                            17";"                            15"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             2";"                             2";"                             3";"                             5";"                             2";"                             3";"                             3";"                             3"
;"140.2 Henlæggelser";"";"                            16";"                            14";"                            13";"                             8";"                            12";"                            13";"                            14";"                            15";"                            12"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             1";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           562";"                           535";"                           543";"                           545";"                           665";"                           680";"                           711";"                           779";"                           632"
"Midtjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             3";"                            58";"                            50";"                            75";"                           151";"                           329";"                           369";"                           449";"                           192"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           223";"                           183";"                           195";"                           172";"                           139";"                           140";"                           141";"                           122";"                           157"
;"106 Ejendomsskatter";"";"                            56";"                            24";"                            27";"                            25";"                            24";"                            24";"                            22";"                            20";"                            24"
;"107 Vandafgift";"";"                            25";"                            20";"                            24";"                            27";"                            18";"                            18";"                            15";"                             9";"                            20"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0"
;"109 Renovation";"";"                            23";"                            20";"                            20";"                            20";"                            22";"                            24";"                            22";"                            20";"                            21"
;"110 Forsikringer";"";"                             8";"                            10";"                            10";"                            11";"                            12";"                            10";"                            10";"                             9";"                            11"
;"111 Afdelingens energiforbrug";"";"                            11";"                            13";"                            14";"                            18";"                            21";"                            16";"                            21";"                            19";"                            18"
;"112 Bidrag til boligorganisationen";"";"                            39";"                            46";"                            46";"                            44";"                            40";"                            48";"                            50";"                            45";"                            45"
;"112.1 Administrationsbidrag";"";"                            39";"                            45";"                            44";"                            42";"                            39";"                            46";"                            48";"                            43";"                            43"
;"112.2 Dispositionsfond";"";"                             0";"                             1";"                             1";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            62";"                            48";"                            53";"                            28";"                             1";"                             0";"                             0";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                           103";"                           106";"                           105";"                           113";"                           120";"                           109";"                           110";"                            99";"                           111"
;"114 Renholdelse";"";"                            52";"                            54";"                            60";"                            62";"                            62";"                            64";"                            65";"                            57";"                            61"
;"115 Almindelig vedligeholdelse";"";"                            38";"                            38";"                            31";"                            33";"                            40";"                            29";"                            30";"                            23";"                            33"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1";"                             0";"                             1";"                             0"
;"116.1 Afholdte udgifter";"";"                           180";"                            83";"                            89";"                            81";"                            73";"                            85";"                            74";"                            37";"                            78"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -180";"                           -81";"                           -88";"                           -81";"                           -73";"                           -84";"                           -74";"                           -36";"                           -77"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
;"117.1 Afholdte udgifter";"";"                            38";"                            22";"                            25";"                            27";"                            24";"                            19";"                            17";"                            11";"                            22"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -38";"                           -20";"                           -24";"                           -26";"                           -23";"                           -18";"                           -16";"                            -9";"                           -21"
;"118 Særlige aktiviteter";"";"                             5";"                             7";"                             7";"                            11";"                             9";"                             9";"                             8";"                             8";"                             9"
;"119 Diverse udgifter";"";"                             9";"                             5";"                             5";"                             6";"                             8";"                             6";"                             7";"                             7";"                             6"
;"124.8 Henlæggelser i alt";"";"                           164";"                           115";"                           124";"                           131";"                           120";"                           100";"                            98";"                            73";"                           113"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           122";"                            88";"                            91";"                            95";"                            85";"                            75";"                            78";"                            56";"                            84"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             0";"                            18";"                            20";"                            19";"                            16";"                            15";"                            11";"                            10";"                            16"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            40";"                             5";"                             7";"                             9";"                            10";"                             5";"                             5";"                             4";"                             8"
;"122.1 Fælleskonto (konto 403)";"";"                             4";"                             0";"                             1";"                             1";"                             2";"                             1";"                             0";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            36";"                             5";"                             6";"                             8";"                             9";"                             5";"                             5";"                             4";"                             7"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             2";"                             3";"                             3";"                             4";"                             6";"                             4";"                             3";"                             2";"                             4"
