"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           110";"                           110";"                            97";"                           101";"                            74";"                            31";"                            23";"                            10";"                             4";"                            78"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                             6";"                             9";"                            12";"                            10";"                            12";"                             5";"                             4";"                             3";"                             1";"                             9"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             7";"                            11";"                            18";"                            44";"                            98";"                            24";"                             7";"                             1";"                             0";"                            39"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1"
"129.1 Afholdte udgifter";"";"                             1";"                             2";"                             3";"                             4";"                             3";"                             2";"                             3";"                             5";"                             4";"                             3"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -2";"                            -3";"                            -2";"                            -2";"                            -2";"                            -4";"                            -2";"                            -2"
"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"130.1 Afholdte udgifter";"";"                             6";"                             5";"                             5";"                             5";"                             7";"                             8";"                             5";"                             3";"                             1";"                             6"
"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -3";"                            -3";"                            -3";"                            -3";"                            -3";"                            -3";"                            -1";"                            -1";"                            -3"
"131 Andre renter";"";"                             0";"                             1";"                             2";"                             1";"                             4";"                             2";"                             1";"                             1";"                             6";"                             2"
"132 Ydelser vedr. driftsstøtte";"";"                             9";"                            11";"                             8";"                             8";"                             8";"                             6";"                             7";"                             2";"                             0";"                             8"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             2";"                             1";"                             2";"                             2";"                             1";"                             3";"                             5";"                             5";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             1";"                             3";"                             6";"                             7";"                            12";"                             6";"                             4";"                             5";"                             8";"                             7"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             0";"                             3";"                             6";"                            10";"                             1";"                             0";"                             2";"                             3"
"139 Udgifter i alt";"";"                           798";"                           806";"                           815";"                           815";"                           917";"                           966";"                         1.015";"                         1.047";"                         1.018";"                           877"
"140 Overskud i alt";"";"                            54";"                            38";"                            37";"                            35";"                            38";"                            38";"                            38";"                            28";"                            39";"                            37"
"140.1 Afvikling af opsamlet underskud";"";"                             6";"                             6";"                            10";"                             7";"                             7";"                             3";"                             3";"                             2";"                             1";"                             6"
"140.2 Henlæggelser";"";"                            47";"                            32";"                            26";"                            28";"                            32";"                            35";"                            35";"                            26";"                            38";"                            31"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           851";"                           844";"                           851";"                           850";"                           955";"                         1.004";"                         1.054";"                         1.075";"                         1.057";"                           914"

