"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
;"112 Bidrag til boligorganisationen";"";"                            60";"                            55";"                            53";"                            52";"                            51";"                            57";"                            58";"                            55";"                            49";"                            54"
;"112.1 Administrationsbidrag";"";"                            56";"                            51";"                            50";"                            49";"                            48";"                            54";"                            55";"                            52";"                            46";"                            51"
;"112.2 Dispositionsfond";"";"                             3";"                             3";"                             2";"                             3";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            38";"                            53";"                            55";"                            27";"                             2";"                             0";"                             0";"                             1";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                           105";"                            96";"                           101";"                           115";"                           107";"                           101";"                           109";"                            98";"                            92";"                           104"
;"114 Renholdelse";"";"                            72";"                            58";"                            63";"                            70";"                            70";"                            67";"                            71";"                            56";"                            53";"                            66"
;"115 Almindelig vedligeholdelse";"";"                            20";"                            24";"                            22";"                            22";"                            21";"                            18";"                            19";"                            23";"                            18";"                            21"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             6";"                             1";"                             2";"                             1";"                             2";"                             2";"                             2"
;"116.1 Afholdte udgifter";"";"                           117";"                           122";"                           116";"                           125";"                           115";"                           121";"                           118";"                            94";"                            64";"                           115"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -117";"                          -121";"                          -115";"                          -119";"                          -114";"                          -119";"                          -117";"                           -92";"                           -62";"                          -113"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"117.1 Afholdte udgifter";"";"                            14";"                            11";"                            10";"                             9";"                             9";"                            10";"                             9";"                             9";"                             6";"                             9"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -14";"                           -11";"                           -10";"                            -9";"                            -9";"                           -10";"                            -9";"                            -9";"                            -6";"                            -9"
;"118 Særlige aktiviteter";"";"                             9";"                             8";"                             9";"                            12";"                            10";"                             8";"                            10";"                             9";"                             7";"                            10"
;"119 Diverse udgifter";"";"                             4";"                             4";"                             5";"                             6";"                             6";"                             6";"                             9";"                             8";"                            12";"                             6"
;"124.8 Henlæggelser i alt";"";"                           176";"                           178";"                           197";"                           219";"                           241";"                           166";"                           177";"                           142";"                           109";"                           191"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           152";"                           157";"                           165";"                           151";"                           146";"                           146";"                           152";"                           131";"                            96";"                           148"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            15";"                            14";"                            14";"                             9";"                            11";"                            11";"                            10";"                             9";"                             9";"                            11"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             7";"                             2";"                             1";"                             2";"                             1";"                             0";"                             1";"                             1";"                             0";"                             1"
;"122.1 Fælleskonto (konto 403)";"";"                             4";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             3";"                             2";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             2";"                             3";"                             3";"                             3";"                             3";"                             2";"                             3";"                             1";"                             2";"                             3"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             1";"                            14";"                            53";"                            79";"                             7";"                            11";"                             0";"                             1";"                            28"
;"137 Ekstraordinære udgifter i alt";"";"                           177";"                           151";"                           163";"                           192";"                           216";"                            93";"                            46";"                            26";"                            17";"                           137"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           147";"                            93";"                           111";"                           113";"                            78";"                            40";"                            22";"                            10";"                             2";"                            70"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                            13";"                            12";"                            12";"                             8";"                             7";"                             9";"                             4";"                             3";"                             0";"                             8"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             1";"                            31";"                            21";"                            55";"                           115";"                            27";"                             7";"                             1";"                             0";"                            42"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0"
;"129.1 Afholdte udgifter";"";"                            10";"                             8";"                             9";"                            11";"                             9";"                             7";"                            12";"                             5";"                            12";"                             9"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                           -10";"                            -8";"                            -9";"                           -11";"                            -9";"                            -7";"                           -11";"                            -4";"                           -12";"                            -9"
;"130 Tab ved fraflytning";"";"                             1";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0"
;"130.1 Afholdte udgifter";"";"                             3";"                             4";"                             5";"                             4";"                             9";"                             5";"                             5";"                             3";"                             1";"                             5"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -2";"                            -2";"                            -2";"                            -3";"                            -3";"                            -3";"                            -2";"                            -1";"                            -1";"                            -2"
;"131 Andre renter";"";"                            15";"                            10";"                             8";"                            10";"                            10";"                             8";"                             9";"                             7";"                             7";"                             9"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             1";"                             0";"                             2";"                             3";"                             1";"                             0";"                             0";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             3";"                             1";"                             1";"                             1";"                             3";"                             2";"                             2";"                             0";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             1";"                             5";"                             2";"                             3";"                             3";"                             1";"                             3";"                             8";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                            -0";"                             0";"                             0";"                            -0";"                            -0";"                             0";"                            -0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             5";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           691";"                           720";"                           740";"                           803";"                           922";"                           870";"                           913";"                           952";"                           933";"                           847"
;"140 Overskud i alt";"";"                            17";"                             9";"                            17";"                            14";"                            15";"                            13";"                            17";"                            12";"                            27";"                            15"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             2";"                             3";"                             1";"                             2";"                             2";"                             2";"                             0";"                             1";"                             2"
;"140.2 Henlæggelser";"";"                            16";"                             8";"                            14";"                            13";"                            13";"                            12";"                            16";"                            12";"                            27";"                            13"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           707";"                           730";"                           757";"                           817";"                           936";"                           883";"                           931";"                           964";"                           961";"                           862"
"Midtjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            10";"                            62";"                            61";"                            76";"                           151";"                           348";"                           405";"                           515";"                           586";"                           234"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           281";"                           218";"                           233";"                           195";"                           163";"                           181";"                           172";"                           156";"                           144";"                           186"
;"106 Ejendomsskatter";"";"                            90";"                            42";"                            45";"                            43";"                            43";"                            48";"                            34";"                            28";"                            34";"                            42"
;"107 Vandafgift";"";"                            22";"                            18";"                            19";"                            16";"                             9";"                            16";"                            15";"                             8";"                             3";"                            14"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            22";"                            25";"                            24";"                            22";"                            22";"                            28";"                            26";"                            24";"                            21";"                            24"
;"110 Forsikringer";"";"                            11";"                            11";"                            12";"                            12";"                            14";"                            10";"                            11";"                            10";"                            11";"                            12"
;"111 Afdelingens energiforbrug";"";"                            10";"                            16";"                            14";"                            16";"                            18";"                            14";"                            21";"                            22";"                            16";"                            17"
;"112 Bidrag til boligorganisationen";"";"                            50";"                            61";"                            62";"                            59";"                            56";"                            64";"                            66";"                            63";"                            58";"                            61"
;"112.1 Administrationsbidrag";"";"                            50";"                            55";"                            58";"                            54";"                            52";"                            60";"                            61";"                            57";"                            54";"                            56"
;"112.2 Dispositionsfond";"";"                             0";"                             5";"                             4";"                             4";"                             3";"                             4";"                             4";"                             5";"                             4";"                             4"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            74";"                            46";"                            58";"                            27";"                             1";"                             0";"                             0";"                             0";"                             1";"                            17"
;"119.9 Variable udgifter i alt";"";"                           111";"                           112";"                           117";"                           122";"                           129";"                           128";"                           131";"                           118";"                           103";"                           122"
;"114 Renholdelse";"";"                            72";"                            72";"                            78";"                            79";"                            80";"                            83";"                            84";"                            76";"                            61";"                            78"
;"115 Almindelig vedligeholdelse";"";"                            23";"                            24";"                            22";"                            24";"                            30";"                            25";"                            27";"                            24";"                            25";"                            25"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             3";"                             2";"                             0";"                             1";"                             3";"                             2";"                             0";"                             2";"                             2"
