"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
;"130.1 Afholdte udgifter";"";"                            11";"                            12";"                             7";"                             7";"                            10";"                            12";"                             9";"                             8";"                             3";"                             9"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -9";"                           -10";"                            -6";"                            -5";"                            -7";"                           -10";"                            -7";"                            -6";"                            -1";"                            -7"
;"131 Andre renter";"";"                             1";"                             0";"                             1";"                             2";"                             3";"                             1";"                             1";"                            17";"                           156";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                            15";"                            22";"                             4";"                             8";"                             8";"                             6";"                             7";"                             3";"                             0";"                             8"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             3";"                             4";"                             3";"                             2";"                             2";"                             2";"                             4";"                            10";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             4";"                             2";"                             2";"                             5";"                             4";"                             4";"                             5";"                             5";"                             1";"                             4"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             4";"                             5";"                             0";"                             0";"                             0";"                             0";"                             2"
;"139 Udgifter i alt";"";"                           732";"                           796";"                           781";"                           801";"                           892";"                           928";"                         1.023";"                         1.116";"                         1.023";"                           860"
;"140 Overskud i alt";"";"                            23";"                            19";"                            17";"                            19";"                            15";"                            24";"                            27";"                            37";"                           168";"                            20"
;"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             5";"                             5";"                             3";"                             4";"                             5";"                             4";"                             6";"                            23";"                             4"
;"140.2 Henlæggelser";"";"                            20";"                            14";"                            12";"                            16";"                            11";"                            19";"                            23";"                            31";"                           145";"                            16"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           756";"                           816";"                           798";"                           820";"                           907";"                           952";"                         1.050";"                         1.153";"                         1.191";"                           880"
"Sjælland   ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            75";"                            42";"                            41";"                            77";"                           220";"                           350";"                           415";"                           580";"                             0";"                           257"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           252";"                           233";"                           228";"                           206";"                           190";"                           175";"                           179";"                           159";"                           165";"                           191"
;"106 Ejendomsskatter";"";"                            31";"                            37";"                            30";"                            28";"                            36";"                            38";"                            28";"                            21";"                            45";"                            32"
;"107 Vandafgift";"";"                            42";"                            29";"                            30";"                            38";"                            37";"                            23";"                            24";"                             8";"                             0";"                            29"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             4";"                             1";"                             2";"                             0";"                             0";"                             2"
;"109 Renovation";"";"                            28";"                            31";"                            30";"                            27";"                            27";"                            31";"                            29";"                            27";"                            18";"                            29"
;"110 Forsikringer";"";"                            12";"                            14";"                            15";"                            15";"                            15";"                            13";"                            13";"                            11";"                            10";"                            14"
;"111 Afdelingens energiforbrug";"";"                            32";"                            19";"                            17";"                            25";"                            23";"                            15";"                            26";"                            37";"                             5";"                            22"
;"112 Bidrag til boligorganisationen";"";"                            61";"                            55";"                            51";"                            51";"                            48";"                            55";"                            58";"                            56";"                            86";"                            53"
;"112.1 Administrationsbidrag";"";"                            58";"                            52";"                            49";"                            47";"                            46";"                            52";"                            55";"                            53";"                            82";"                            50"
;"112.2 Dispositionsfond";"";"                             3";"                             2";"                             2";"                             3";"                             2";"                             2";"                             2";"                             3";"                             4";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            48";"                            49";"                            54";"                            21";"                             0";"                             0";"                             0";"                             0";"                             0";"                            11"
;"119.9 Variable udgifter i alt";"";"                           168";"                           140";"                           127";"                           144";"                           128";"                           131";"                           138";"                           118";"                           185";"                           132"
;"114 Renholdelse";"";"                            81";"                            69";"                            75";"                            86";"                            81";"                            76";"                            78";"                            70";"                           107";"                            78"
;"115 Almindelig vedligeholdelse";"";"                            80";"                            60";"                            36";"                            30";"                            30";"                            35";"                            39";"                            31";"                            78";"                            35"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                            -0";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1";"                             0";"                             0";"                             1"
;"116.1 Afholdte udgifter";"";"                            79";"                           106";"                           108";"                           100";"                            85";"                            97";"                            76";"                            54";"                            25";"                            90"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -79";"                          -106";"                          -108";"                           -99";"                           -84";"                           -95";"                           -75";"                           -54";"                           -25";"                           -89"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             2";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            19";"                            25";"                            25";"                            21";"                            19";"                            19";"                            21";"                            11";"                             0";"                            20"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -19";"                           -23";"                           -25";"                           -19";"                           -19";"                           -18";"                           -20";"                           -11";"                             0";"                           -19"
;"118 Særlige aktiviteter";"";"                             1";"                             5";"                            10";"                            19";"                             9";"                            11";"                            11";"                             9";"                             0";"                            11"
;"119 Diverse udgifter";"";"                             6";"                             4";"                             5";"                             6";"                             6";"                             5";"                             7";"                             7";"                             0";"                             6"
;"124.8 Henlæggelser i alt";"";"                           176";"                           156";"                           148";"                           144";"                           149";"                           141";"                           118";"                           101";"                           122";"                           139"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           125";"                           122";"                           117";"                           105";"                            96";"                           106";"                            88";"                            76";"                           122";"                           101"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            38";"                            27";"                            24";"                            22";"                            21";"                            19";"                            17";"                            13";"                             0";"                            20"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             0";"                             1";"                             3";"                             1";"                             3";"                             4";"                             1";"                             0";"                             2"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             2";"                             3";"                             1";"                             0";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                            13";"                             7";"                             5";"                             9";"                            10";"                            10";"                             9";"                             9";"                             0";"                             9"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             1";"                             5";"                            22";"                             3";"                             0";"                             2";"                             0";"                             7"
;"137 Ekstraordinære udgifter i alt";"";"                           140";"                           117";"                           110";"                           139";"                           122";"                            45";"                            38";"                            26";"                         1.048";"                            85"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           107";"                            97";"                            86";"                            55";"                            41";"                            22";"                             8";"                             3";"                             0";"                            39"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             1";"                             7";"                             9";"                             6";"                             9";"                             5";"                             3";"                             1";"                             0";"                             6"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                            18";"                             7";"                             6";"                            56";"                            51";"                             6";"                             4";"                             0";"                             0";"                            24"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             2";"                             2";"                             0";"                             4";"                            10";"                             0";"                             2"
;"129.1 Afholdte udgifter";"";"                             1";"                             8";"                             3";"                            12";"                             5";"                             4";"                             9";"                            18";"                             0";"                             7"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -8";"                            -3";"                           -10";"                            -3";"                            -3";"                            -5";"                            -9";"                             0";"                            -5"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             2";"                             5";"                             3";"                             3";"                             3";"                             2";"                             0";"                             3"
;"130.1 Afholdte udgifter";"";"                             2";"                             6";"                             8";"                            11";"                            15";"                            11";"                            11";"                             7";"                             0";"                            11"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -2";"                            -5";"                            -6";"                            -6";"                           -12";"                            -7";"                            -8";"                            -5";"                             0";"                            -8"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             5";"                             2";"                             1";"                             1";"                             2";"                         1.048";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             2";"                             2";"                             2";"                             1";"                             0";"                             0";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                            13";"                             3";"                             3";"                             2";"                             3";"                             3";"                             3";"                             6";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             1";"                             1";"                             1";"                             2";"                             6";"                             2";"                            12";"                             2";"                             0";"                             4"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                             0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             4";"                             4";"                             0";"                             0";"                             0";"                             0";"                             2"
;"139 Udgifter i alt";"";"                           812";"                           688";"                           653";"                           709";"                           809";"                           841";"                           888";"                           984";"                         1.519";"                           805"
;"140 Overskud i alt";"";"                            13";"                            20";"                            18";"                            14";"                            23";"                            23";"                            25";"                            31";"                             0";"                            22"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             5";"                             5";"                             6";"                             5";"                             5";"                             3";"                             1";"                             0";"                             5"
;"140.2 Henlæggelser";"";"                            13";"                            15";"                            12";"                             7";"                            18";"                            18";"                            22";"                            30";"                             0";"                            17"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           826";"                           708";"                           671";"                           723";"                           832";"                           864";"                           913";"                         1.015";"                         1.519";"                           827"
"Syddanmark ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            16";"                            48";"                            42";"                            85";"                           187";"                           336";"                           391";"                           504";"                           501";"                           213"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           171";"                           189";"                           198";"                           168";"                           149";"                           144";"                           143";"                           133";"                            99";"                           160"
;"106 Ejendomsskatter";"";"                            18";"                            29";"                            31";"                            27";"                            28";"                            22";"                            20";"                            19";"                             9";"                            25"
;"107 Vandafgift";"";"                            18";"                            14";"                            16";"                            14";"                            13";"                            12";"                            11";"                             5";"                             1";"                            13"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             3";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            26";"                            26";"                            25";"                            25";"                            25";"                            30";"                            27";"                            24";"                            20";"                            26"
;"110 Forsikringer";"";"                             9";"                            10";"                            11";"                            10";"                            11";"                            10";"                            10";"                            11";"                             9";"                            11"
;"111 Afdelingens energiforbrug";"";"                            15";"                            11";"                            14";"                            18";"                            23";"                            16";"                            19";"                            22";"                            19";"                            18"
;"112 Bidrag til boligorganisationen";"";"                            51";"                            46";"                            46";"                            46";"                            46";"                            51";"                            54";"                            52";"                            41";"                            49"
;"112.1 Administrationsbidrag";"";"                            48";"                            45";"                            45";"                            45";"                            44";"                            49";"                            52";"                            49";"                            38";"                            47"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            31";"                            52";"                            53";"                            26";"                             2";"                             0";"                             0";"                             0";"                             0";"                            17"
;"119.9 Variable udgifter i alt";"";"                            95";"                            92";"                           106";"                           109";"                           111";"                           104";"                           108";"                            93";"                            73";"                           105"
;"114 Renholdelse";"";"                            61";"                            47";"                            57";"                            63";"                            62";"                            60";"                            64";"                            54";"                            41";"                            60"
;"115 Almindelig vedligeholdelse";"";"                            23";"                            32";"                            34";"                            30";"                            33";"                            28";"                            26";"                            22";"                            21";"                            30"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             2";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1"
;"116.1 Afholdte udgifter";"";"                            69";"                            99";"                            95";"                            79";"                            88";"                            87";"                            72";"                            50";"                             9";"                            83"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -69";"                           -96";"                           -94";"                           -79";"                           -87";"                           -85";"                           -71";"                           -49";"                            -9";"                           -82"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            16";"                            17";"                            19";"                            19";"                            16";"                            14";"                            15";"                             9";"                             3";"                            16"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -16";"                           -16";"                           -18";"                           -19";"                           -15";"                           -13";"                           -14";"                            -9";"                            -3";"                           -15"
;"118 Særlige aktiviteter";"";"                             7";"                             5";"                             9";"                            11";"                            10";"                             8";"                             9";"                             7";"                             2";"                             9"
;"119 Diverse udgifter";"";"                             4";"                             4";"                             5";"                             4";"                             5";"                             5";"                             7";"                             8";"                             9";"                             5"
;"124.8 Henlæggelser i alt";"";"                            83";"                           120";"                           113";"                           115";"                           116";"                           101";"                            91";"                            74";"                            65";"                           106"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            63";"                            98";"                            90";"                            79";"                            83";"                            77";"                            72";"                            60";"                            42";"                            80"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            13";"                            17";"                            18";"                            16";"                            13";"                            13";"                             8";"                            14";"                            15"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             5";"                             2";"                             1";"                             2";"                             1";"                             1";"                             1";"                             2";"                             0";"                             1"
;"122.1 Fælleskonto (konto 403)";"";"                             2";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             4";"                             2";"                             1";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             4";"                             3";"                             5";"                             8";"                            10";"                             6";"                             5";"                             3";"                             9";"                             6"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             4";"                             0";"                             8";"                             7";"                             4";"                             0";"                             0";"                             0";"                             4"
;"137 Ekstraordinære udgifter i alt";"";"                           237";"                           125";"                           129";"                           123";"                           144";"                            36";"                            32";"                            31";"                             4";"                            94"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           217";"                            95";"                            98";"                            80";"                            70";"                            19";"                             9";"                             4";"                             0";"                            57"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             9";"                            13";"                            11";"                             6";"                             4";"                             3";"                             1";"                             2";"                             0";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             9";"                             9";"                            27";"                            46";"                             4";"                             2";"                             0";"                             0";"                            17"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             1";"                             3";"                             6";"                             2";"                             3";"                             3";"                             0";"                             3"
;"129.1 Afholdte udgifter";"";"                             1";"                             3";"                             6";"                            10";"                            18";"                             9";"                            11";"                             8";"                            22";"                            10"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -3";"                            -5";"                            -7";"                           -12";"                            -7";"                            -8";"                            -5";"                           -22";"                            -7"
;"130 Tab ved fraflytning";"";"                             1";"                             2";"                             2";"                             1";"                             4";"                             3";"                             3";"                             1";"                             0";"                             2"
;"130.1 Afholdte udgifter";"";"                             5";"                             5";"                             6";"                             7";"                            13";"                             9";"                             7";"                             3";"                             2";"                             8"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -4";"                            -4";"                            -6";"                            -9";"                            -6";"                            -4";"                            -2";"                            -2";"                            -6"
;"131 Andre renter";"";"                             8";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             2";"                             0";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             3";"                             2";"                             1";"                             1";"                             3";"                             5";"                            14";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             2";"                             5";"                             4";"                             6";"                             1";"                            10";"                             4";"                             4";"                             4"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                            -0";"                             0";"                            -0";"                             0";"                            -0";"                            -0";"                             0";"                            -0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             3";"                             1";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           603";"                           575";"                           588";"                           599";"                           708";"                           721";"                           765";"                           835";"                           742";"                           679"
;"140 Overskud i alt";"";"                            28";"                            13";"                            13";"                            14";"                            14";"                            17";"                            20";"                            22";"                            83";"                            16"
;"140.1 Afvikling af opsamlet underskud";"";"                             1";"                             1";"                             1";"                             1";"                             3";"                             1";"                             1";"                             1";"                             6";"                             2"
;"140.2 Henlæggelser";"";"                            27";"                            12";"                            12";"                            12";"                            11";"                            16";"                            19";"                            21";"                            77";"                            14"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           631";"                           587";"                           601";"                           613";"                           722";"                           738";"                           785";"                           857";"                           826";"                           695"
"Midtjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             4";"                            62";"                            61";"                            75";"                           147";"                           336";"                           384";"                           467";"                           442";"                           198"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           246";"                           193";"                           206";"                           182";"                           152";"                           150";"                           152";"                           135";"                           127";"                           168"
;"106 Ejendomsskatter";"";"                            65";"                            29";"                            31";"                            31";"                            30";"                            27";"                            24";"                            22";"                            32";"                            29"
;"107 Vandafgift";"";"                            30";"                            21";"                            24";"                            27";"                            17";"                            20";"                            16";"                             9";"                             2";"                            20"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            23";"                            22";"                            22";"                            21";"                            24";"                            25";"                            24";"                            21";"                            17";"                            23"
;"110 Forsikringer";"";"                             9";"                            10";"                            10";"                            11";"                            12";"                            10";"                            10";"                             9";"                            11";"                            11"
;"111 Afdelingens energiforbrug";"";"                             9";"                            15";"                            16";"                            19";"                            24";"                            17";"                            23";"                            22";"                            26";"                            20"
;"112 Bidrag til boligorganisationen";"";"                            45";"                            47";"                            49";"                            47";"                            44";"                            51";"                            54";"                            50";"                            39";"                            48"
;"112.1 Administrationsbidrag";"";"                            45";"                            45";"                            47";"                            45";"                            42";"                            49";"                            51";"                            48";"                            38";"                            47"
;"112.2 Dispositionsfond";"";"                             0";"                             2";"                             1";"                             2";"                             1";"                             2";"                             2";"                             2";"                             1";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            64";"                            49";"                            53";"                            27";"                             1";"                             0";"                             0";"                             0";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                           128";"                           118";"                           118";"                           131";"                           135";"                           125";"                           131";"                           114";"                            99";"                           126"
;"114 Renholdelse";"";"                            65";"                            63";"                            69";"                            71";"                            71";"                            73";"                            75";"                            65";"                            56";"                            70"
;"115 Almindelig vedligeholdelse";"";"                            43";"                            41";"                            35";"                            39";"                            45";"                            34";"                            38";"                            28";"                            26";"                            38"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             2";"                             1";"                             1";"                             7";"                             1"
