"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           151";"                           175";"                           162";"                           140";"                           133";"                           133";"                           126";"                           103";"                            64";"                           142"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            12";"                            10";"                            13";"                            12";"                            10";"                            15";"                            15";"                            11";"                            10";"                            12"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            13";"                            21";"                            11";"                             7";"                             9";"                             6";"                             7";"                             8";"                             3";"                            10"
;"122.1 Fælleskonto (konto 403)";"";"                             4";"                             8";"                             4";"                             2";"                             3";"                             2";"                             2";"                             1";"                             1";"                             3"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             9";"                            12";"                             7";"                             5";"                             6";"                             4";"                             6";"                             7";"                             1";"                             7"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                            16";"                            13";"                             8";"                             8";"                            12";"                            12";"                            10";"                             8";"                             6";"                            10"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             5";"                            13";"                             5";"                             8";"                             1";"                             1";"                             0";"                             6"
;"137 Ekstraordinære udgifter i alt";"";"                           132";"                           117";"                           123";"                           150";"                           196";"                            64";"                            46";"                            31";"                            93";"                           127"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            93";"                            82";"                            94";"                            83";"                            62";"                            30";"                            15";"                             3";"                             0";"                            65"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                            11";"                             7";"                            11";"                            10";"                            17";"                             5";"                             7";"                             2";"                             6";"                            10"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             1";"                             8";"                            40";"                            90";"                            15";"                             2";"                             0";"                             0";"                            32"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                            -0";"                             0";"                             2";"                             0";"                             0";"                             1";"                             0";"                             1"
;"129.1 Afholdte udgifter";"";"                             2";"                             2";"                             2";"                             2";"                             7";"                             1";"                             2";"                             3";"                             2";"                             3"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -2";"                            -2";"                            -2";"                            -2";"                            -5";"                            -1";"                            -2";"                            -2";"                            -1";"                            -3"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1";"                             0";"                             1"
;"130.1 Afholdte udgifter";"";"                            14";"                            14";"                             8";"                             9";"                            14";"                            11";"                            10";"                             7";"                             1";"                            11"
;"130.2 Heraf dækkes af henlæggelser";"";"                           -14";"                           -13";"                            -7";"                            -8";"                           -12";"                           -11";"                            -8";"                            -6";"                            -1";"                           -10"
;"131 Andre renter";"";"                             1";"                             0";"                             1";"                             2";"                             2";"                             1";"                             3";"                             4";"                            57";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                            14";"                            20";"                             4";"                             8";"                             8";"                             6";"                             9";"                             3";"                             0";"                             8"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             2";"                             2";"                             2";"                             1";"                             3";"                             3";"                             5";"                             8";"                             1";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             8";"                             2";"                             2";"                             3";"                             6";"                             4";"                             4";"                             9";"                            29";"                             4"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             0";"                             2";"                             4";"                             1";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           788";"                           836";"                           826";"                           842";"                           933";"                           955";"                         1.073";"                         1.163";"                         1.041";"                           902"
;"140 Overskud i alt";"";"                            17";"                            17";"                            18";"                            19";"                            23";"                            36";"                            27";"                            30";"                           108";"                            23"
;"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             5";"                             6";"                             4";"                             7";"                             7";"                             5";"                             3";"                            13";"                             6"
;"140.2 Henlæggelser";"";"                            14";"                            12";"                            12";"                            15";"                            16";"                            29";"                            22";"                            28";"                            95";"                            18"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           805";"                           854";"                           845";"                           861";"                           956";"                           991";"                         1.101";"                         1.193";"                         1.149";"                           926"
"Sjælland   ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            76";"                            44";"                            49";"                            76";"                           223";"                           345";"                           426";"                           593";"                           585";"                           260"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           254";"                           249";"                           239";"                           218";"                           200";"                           184";"                           186";"                           169";"                           123";"                           201"
;"106 Ejendomsskatter";"";"                            33";"                            40";"                            33";"                            31";"                            38";"                            38";"                            26";"                            21";"                            22";"                            34"
;"107 Vandafgift";"";"                            39";"                            33";"                            31";"                            38";"                            37";"                            25";"                            27";"                             9";"                             1";"                            30"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             5";"                             1";"                             2";"                             0";"                             0";"                             2"
;"109 Renovation";"";"                            28";"                            31";"                            30";"                            28";"                            27";"                            31";"                            28";"                            27";"                            14";"                            29"
;"110 Forsikringer";"";"                            13";"                            15";"                            16";"                            17";"                            19";"                            15";"                            16";"                            14";"                            19";"                            16"
;"111 Afdelingens energiforbrug";"";"                            27";"                            20";"                            17";"                            27";"                            23";"                            15";"                            26";"                            38";"                            15";"                            22"
;"112 Bidrag til boligorganisationen";"";"                            62";"                            59";"                            56";"                            55";"                            52";"                            58";"                            61";"                            60";"                            52";"                            56"
;"112.1 Administrationsbidrag";"";"                            58";"                            55";"                            52";"                            51";"                            49";"                            55";"                            58";"                            57";"                            50";"                            53"
;"112.2 Dispositionsfond";"";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             1";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            51";"                            52";"                            56";"                            22";"                             0";"                             0";"                             0";"                             0";"                             0";"                            12"
;"119.9 Variable udgifter i alt";"";"                           149";"                           133";"                           129";"                           145";"                           135";"                           131";"                           135";"                           126";"                            86";"                           134"
;"114 Renholdelse";"";"                            88";"                            70";"                            78";"                            88";"                            84";"                            79";"                            82";"                            78";"                            37";"                            81"
;"115 Almindelig vedligeholdelse";"";"                            47";"                            48";"                            35";"                            29";"                            29";"                            30";"                            32";"                            30";"                            39";"                            31"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             2";"                             1";"                             0";"                             3";"                             3";"                             0";"                             0";"                             0";"                             2"
;"116.1 Afholdte udgifter";"";"                            82";"                           128";"                           107";"                            90";"                            89";"                           106";"                            92";"                            62";"                             9";"                            96"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -82";"                          -126";"                          -106";"                           -90";"                           -86";"                          -104";"                           -92";"                           -62";"                            -9";"                           -94"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             2";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            31";"                            26";"                            21";"                            18";"                            21";"                            20";"                            20";"                            17";"                             0";"                            20"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -31";"                           -24";"                           -20";"                           -17";"                           -20";"                           -19";"                           -19";"                           -16";"                            -0";"                           -19"
;"118 Særlige aktiviteter";"";"                            11";"                             6";"                            10";"                            20";"                            11";"                            11";"                            11";"                            10";"                             0";"                            12"
;"119 Diverse udgifter";"";"                             4";"                             5";"                             5";"                             6";"                             7";"                             6";"                             8";"                             7";"                            10";"                             7"
;"124.8 Henlæggelser i alt";"";"                           209";"                           169";"                           167";"                           162";"                           161";"                           161";"                           138";"                           122";"                            77";"                           156"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           166";"                           130";"                           129";"                           122";"                           101";"                           121";"                           100";"                            91";"                            64";"                           113"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            35";"                            29";"                            28";"                            23";"                            23";"                            22";"                            19";"                            17";"                             7";"                            23"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             0";"                             1";"                             2";"                             1";"                             3";"                             4";"                             1";"                             2";"                             2"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             2";"                             3";"                             1";"                             2";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             7";"                             9";"                             9";"                            12";"                            15";"                            14";"                            13";"                            11";"                             3";"                            13"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             1";"                             3";"                            19";"                             1";"                             1";"                             2";"                             0";"                             6"
;"137 Ekstraordinære udgifter i alt";"";"                           143";"                           127";"                           112";"                           155";"                           126";"                            63";"                            57";"                            42";"                            27";"                            97"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           106";"                           101";"                            89";"                            64";"                            51";"                            30";"                            13";"                             3";"                            13";"                            46"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             3";"                             7";"                             8";"                             7";"                            10";"                            12";"                             3";"                             5";"                             0";"                             8"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                            18";"                             8";"                             7";"                            60";"                            49";"                             5";"                            11";"                             0";"                             0";"                            24"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             2";"                             5";"                             3";"                             1";"                             5";"                             6";"                             0";"                             3"
;"129.1 Afholdte udgifter";"";"                             4";"                             6";"                             8";"                            16";"                             8";"                             6";"                            12";"                            17";"                             7";"                            10"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -4";"                            -6";"                            -6";"                           -11";"                            -4";"                            -5";"                            -8";"                           -12";"                            -7";"                            -7"
;"130 Tab ved fraflytning";"";"                             3";"                             2";"                             1";"                             3";"                             1";"                             2";"                             1";"                             2";"                             0";"                             2"
;"130.1 Afholdte udgifter";"";"                            12";"                             8";"                             7";"                            13";"                            15";"                            11";"                             9";"                            10";"                             0";"                            12"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -9";"                            -6";"                            -6";"                           -10";"                           -14";"                           -10";"                            -8";"                            -8";"                             0";"                           -10"
;"131 Andre renter";"";"                             0";"                             1";"                             0";"                             3";"                             2";"                             0";"                             0";"                             1";"                             5";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             1";"                             2";"                             1";"                             5";"                             2";"                             0";"                             0";"                             2"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             9";"                             5";"                             3";"                             2";"                             3";"                             4";"                            16";"                            17";"                             0";"                             6"
;"134 Korrektion vedr. tidligere år";"";"                             3";"                             1";"                             0";"                             1";"                             4";"                             3";"                             4";"                             8";"                            10";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                            -0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             6";"                             1";"                             0";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           832";"                           722";"                           696";"                           755";"                           844";"                           883";"                           942";"                         1.052";"                           898";"                           848"
;"140 Overskud i alt";"";"                            32";"                            22";"                            13";"                            16";"                            19";"                            32";"                            23";"                            23";"                            70";"                            22"
;"140.1 Afvikling af opsamlet underskud";"";"                             4";"                             4";"                             4";"                             5";"                             4";"                             5";"                             2";"                             1";"                             0";"                             4"
;"140.2 Henlæggelser";"";"                            28";"                            19";"                             9";"                            11";"                            15";"                            27";"                            21";"                            22";"                            70";"                            19"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           864";"                           744";"                           709";"                           771";"                           863";"                           915";"                           965";"                         1.075";"                           968";"                           870"
"Syddanmark ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            16";"                            64";"                            44";"                            84";"                           190";"                           340";"                           401";"                           517";"                           451";"                           219"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           180";"                           194";"                           204";"                           176";"                           154";"                           148";"                           147";"                           138";"                           112";"                           165"
;"106 Ejendomsskatter";"";"                            20";"                            30";"                            34";"                            29";"                            29";"                            23";"                            21";"                            19";"                            18";"                            27"
;"107 Vandafgift";"";"                            20";"                            12";"                            15";"                            13";"                            14";"                            12";"                            10";"                             5";"                             2";"                            12"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             4";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1";"                             0";"                             0";"                             1"
;"109 Renovation";"";"                            26";"                            26";"                            24";"                            24";"                            25";"                            29";"                            26";"                            23";"                            21";"                            26"
;"110 Forsikringer";"";"                            11";"                            12";"                            12";"                            12";"                            12";"                            12";"                            11";"                            12";"                            10";"                            12"
;"111 Afdelingens energiforbrug";"";"                            15";"                            12";"                            14";"                            19";"                            22";"                            17";"                            20";"                            23";"                            19";"                            18"
;"112 Bidrag til boligorganisationen";"";"                            53";"                            50";"                            49";"                            49";"                            48";"                            54";"                            57";"                            55";"                            42";"                            51"
;"112.1 Administrationsbidrag";"";"                            49";"                            47";"                            47";"                            47";"                            46";"                            52";"                            54";"                            52";"                            40";"                            49"
;"112.2 Dispositionsfond";"";"                             3";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             1";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            32";"                            51";"                            55";"                            28";"                             2";"                             0";"                             0";"                             0";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                           109";"                           101";"                           104";"                           112";"                           112";"                           107";"                           113";"                            95";"                            83";"                           107"
;"114 Renholdelse";"";"                            62";"                            53";"                            57";"                            64";"                            63";"                            62";"                            65";"                            54";"                            42";"                            61"
;"115 Almindelig vedligeholdelse";"";"                            35";"                            32";"                            32";"                            30";"                            32";"                            28";"                            27";"                            22";"                            21";"                            29"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             2";"                             1";"                             2";"                             2";"                             2";"                             1";"                             2";"                             5";"                             2"
;"116.1 Afholdte udgifter";"";"                            67";"                           107";"                            82";"                            76";"                            85";"                            87";"                            82";"                            68";"                            17";"                            82"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -67";"                          -105";"                           -81";"                           -74";"                           -83";"                           -86";"                           -81";"                           -65";"                           -12";"                           -81"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             2";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            18";"                            21";"                            16";"                            16";"                            15";"                            14";"                            13";"                             9";"                             3";"                            15"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -18";"                           -19";"                           -15";"                           -16";"                           -14";"                           -14";"                           -12";"                            -8";"                            -2";"                           -14"
;"118 Særlige aktiviteter";"";"                             7";"                             7";"                             8";"                            11";"                             9";"                             8";"                            10";"                             7";"                             7";"                             9"
;"119 Diverse udgifter";"";"                             5";"                             7";"                             5";"                             5";"                             5";"                             6";"                             9";"                             8";"                             7";"                             6"
;"124.8 Henlæggelser i alt";"";"                           102";"                           126";"                           125";"                           121";"                           130";"                           114";"                           105";"                            86";"                            84";"                           117"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            76";"                           103";"                           101";"                            88";"                            94";"                            87";"                            83";"                            70";"                            65";"                            90"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            11";"                            15";"                            18";"                            17";"                            15";"                            14";"                            14";"                             9";"                            11";"                            15"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             7";"                             2";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             1";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             4";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             5";"                             6";"                             9";"                            12";"                             8";"                             7";"                             4";"                             6";"                             8"
;"124 Andre henlæggelser (konto 406)";"";"                             3";"                             2";"                             0";"                             5";"                             9";"                             4";"                             0";"                             1";"                             2";"                             4"
;"137 Ekstraordinære udgifter i alt";"";"                           230";"                           133";"                           135";"                           136";"                           153";"                            43";"                            29";"                            37";"                            18";"                           101"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           218";"                           100";"                           105";"                            85";"                            76";"                            24";"                            12";"                             7";"                             1";"                            62"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                            12";"                            12";"                            11";"                             6";"                             5";"                             4";"                             2";"                             2";"                             1";"                             6"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                            11";"                             9";"                            29";"                            45";"                             3";"                             1";"                             0";"                             0";"                            17"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             4";"                             3";"                             4";"                             2";"                             4";"                             3";"                             0";"                             3"
;"129.1 Afholdte udgifter";"";"                             1";"                             7";"                             9";"                             8";"                            22";"                            11";"                            14";"                             8";"                            32";"                            12"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -6";"                            -5";"                            -5";"                           -18";"                            -9";"                            -9";"                            -5";"                           -32";"                            -9"
;"130 Tab ved fraflytning";"";"                             0";"                             2";"                             1";"                             1";"                             3";"                             2";"                             2";"                             1";"                             0";"                             2"
;"130.1 Afholdte udgifter";"";"                             3";"                             6";"                             6";"                             8";"                            12";"                             9";"                             8";"                             3";"                             1";"                             8"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -3";"                            -4";"                            -5";"                            -6";"                           -10";"                            -7";"                            -6";"                            -2";"                            -1";"                            -6"
;"131 Andre renter";"";"                             0";"                             1";"                             0";"                             1";"                             2";"                             1";"                             1";"                             2";"                            15";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             1";"                             2";"                             1";"                             3";"                             1";"                             0";"                             1";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             2";"                             2";"                             2";"                             2";"                             4";"                             3";"                             5";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             1";"                             1";"                             6";"                            12";"                             2";"                             3";"                            16";"                             1";"                             5"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                            -0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             3";"                             0";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           636";"                           618";"                           613";"                           628";"                           740";"                           752";"                           794";"                           873";"                           748";"                           709"
;"140 Overskud i alt";"";"                            24";"                            11";"                            14";"                            13";"                            12";"                            18";"                            22";"                            24";"                            47";"                            16"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1"
;"140.2 Henlæggelser";"";"                            24";"                             9";"                            13";"                            12";"                            10";"                            17";"                            22";"                            23";"                            47";"                            15"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           660";"                           628";"                           627";"                           641";"                           752";"                           770";"                           817";"                           897";"                           795";"                           726"
"Midtjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             6";"                            63";"                            60";"                            73";"                           152";"                           339";"                           391";"                           483";"                           498";"                           209"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           264";"                           209";"                           218";"                           192";"                           156";"                           157";"                           160";"                           143";"                           129";"                           176"
;"106 Ejendomsskatter";"";"                            72";"                            32";"                            35";"                            34";"                            33";"                            29";"                            24";"                            23";"                            29";"                            31"
;"107 Vandafgift";"";"                            34";"                            21";"                            24";"                            26";"                            16";"                            18";"                            17";"                            10";"                             5";"                            19"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            23";"                            20";"                            19";"                            19";"                            22";"                            24";"                            22";"                            20";"                            17";"                            21"
;"110 Forsikringer";"";"                             9";"                            11";"                            11";"                            12";"                            13";"                            11";"                            11";"                            10";"                            11";"                            11"
;"111 Afdelingens energiforbrug";"";"                            11";"                            17";"                            17";"                            20";"                            23";"                            18";"                            25";"                            24";"                            19";"                            21"
;"112 Bidrag til boligorganisationen";"";"                            46";"                            56";"                            56";"                            52";"                            49";"                            57";"                            60";"                            56";"                            49";"                            54"
;"112.1 Administrationsbidrag";"";"                            46";"                            53";"                            53";"                            50";"                            47";"                            55";"                            57";"                            53";"                            47";"                            52"
;"112.2 Dispositionsfond";"";"                             0";"                             2";"                             2";"                             2";"                             1";"                             2";"                             2";"                             2";"                             1";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            68";"                            51";"                            56";"                            28";"                             1";"                             0";"                             0";"                             0";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                           134";"                           120";"                           121";"                           133";"                           140";"                           129";"                           132";"                           119";"                           104";"                           129"
;"114 Renholdelse";"";"                            72";"                            67";"                            71";"                            75";"                            74";"                            74";"                            78";"                            69";"                            55";"                            73"
;"115 Almindelig vedligeholdelse";"";"                            44";"                            38";"                            35";"                            37";"                            45";"                            36";"                            34";"                            29";"                            31";"                            37"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             1";"                             0";"                             2";"                             1";"                             1";"                             1";"                             1"
