"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            14";"                            12";"                             9";"                             7";"                             8";"                             5";"                             6";"                             7";"                             6";"                             8"
"122.1 Fælleskonto (konto 403)";"";"                             4";"                             5";"                             3";"                             2";"                             3";"                             1";"                             1";"                             1";"                             2";"                             3"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            11";"                             8";"                             6";"                             5";"                             5";"                             4";"                             5";"                             6";"                             4";"                             6"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             5";"                             4";"                             5";"                             5";"                             5";"                             5";"                             3";"                             4";"                             5"
"124 Andre henlæggelser (konto 406)";"";"                             0";"                             4";"                             9";"                             7";"                            32";"                             8";"                             1";"                             1";"                             2";"                            12"
"137 Ekstraordinære udgifter i alt";"";"                           136";"                           140";"                           130";"                           162";"                           181";"                            55";"                            45";"                            27";"                            29";"                           131"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           109";"                           104";"                            97";"                            99";"                            72";"                            28";"                            22";"                             9";"                             2";"                            76"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                            11";"                             8";"                            12";"                             8";"                             9";"                             5";"                             3";"                             4";"                             1";"                             8"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             8";"                             9";"                            36";"                            74";"                            11";"                             6";"                             0";"                             0";"                            29"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             3";"                             1";"                             1";"                             1";"                             0";"                             1";"                             1";"                             2";"                             1"
"129.1 Afholdte udgifter";"";"                             1";"                             4";"                             3";"                             4";"                             8";"                             3";"                             4";"                             7";"                             5";"                             5"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -2";"                            -2";"                            -3";"                            -6";"                            -3";"                            -3";"                            -6";"                            -3";"                            -4"
"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0"
"130.1 Afholdte udgifter";"";"                             8";"                             8";"                             6";"                             6";"                            10";"                            10";"                             7";"                             4";"                             1";"                             7"
"130.2 Heraf dækkes af henlæggelser";"";"                            -6";"                            -6";"                            -4";"                            -4";"                            -5";"                            -5";"                            -5";"                            -3";"                            -1";"                            -5"
"131 Andre renter";"";"                             1";"                             2";"                             2";"                             2";"                             3";"                             1";"                             2";"                             2";"                            12";"                             2"
"132 Ydelser vedr. driftsstøtte";"";"                            10";"                            11";"                             6";"                             6";"                            10";"                             5";"                             6";"                             2";"                             0";"                             7"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             2";"                             1";"                             1";"                             2";"                             3";"                             1";"                             3";"                             5";"                             2";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             3";"                             1";"                             1";"                             3";"                             4";"                             3";"                             2";"                             4";"                             9";"                             3"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             0";"                             3";"                             3";"                             1";"                             0";"                             0";"                             0";"                             2"
"139 Udgifter i alt";"";"                           779";"                           781";"                           779";"                           783";"                           872";"                           912";"                           990";"                         1.025";"                           976";"                           842"
"140 Overskud i alt";"";"                            31";"                            21";"                            19";"                            20";"                            28";"                            28";"                            23";"                            23";"                            38";"                            23"
"140.1 Afvikling af opsamlet underskud";"";"                             2";"                             4";"                             6";"                             4";"                             6";"                             2";"                             4";"                             1";"                             9";"                             5"
"140.2 Henlæggelser";"";"                            28";"                            17";"                            13";"                            16";"                            21";"                            26";"                            19";"                            22";"                            29";"                            19"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           810";"                           802";"                           798";"                           803";"                           900";"                           940";"                         1.013";"                         1.048";"                         1.014";"                           865"

