"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"131 Andre renter";"";"                             0";"                             1";"                             1";"                             2";"                             3";"                             2";"                             1";"                             1";"                             2";"                             2"
"132 Ydelser vedr. driftsstøtte";"";"                             9";"                            11";"                             8";"                             8";"                            10";"                             7";"                             7";"                             2";"                             0";"                             8"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             0";"                             0";"                             2";"                             2";"                             1";"                             1";"                             3";"                             4";"                             1"
"134 Korrektion vedr. tidligere år";"";"                             2";"                             2";"                             3";"                             4";"                             7";"                             6";"                             3";"                             6";"                            10";"                             5"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             0";"                             3";"                             4";"                             4";"                             0";"                             0";"                             2";"                             2"
"139 Udgifter i alt";"";"                           855";"                           856";"                           862";"                           864";"                           962";"                           984";"                         1.044";"                         1.073";"                         1.041";"                           921"
"140 Overskud i alt";"";"                            26";"                            29";"                            29";"                            35";"                            30";"                            29";"                            29";"                            24";"                            36";"                            31"
"140.1 Afvikling af opsamlet underskud";"";"                             2";"                             6";"                             7";"                             6";"                             7";"                             4";"                             3";"                             2";"                             1";"                             6"
"140.2 Henlæggelser";"";"                            24";"                            23";"                            21";"                            29";"                            22";"                            25";"                            25";"                            22";"                            35";"                            25"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           880";"                           885";"                           891";"                           900";"                           992";"                         1.013";"                         1.073";"                         1.097";"                         1.077";"                           952"

