"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
;"140.1 Afvikling af opsamlet underskud";"";"                             4";"                             3";"                             3";"                             2";"                             3";"                             1";"                             3";"                             3";"                             3"
;"140.2 Henlæggelser";"";"                             9";"                             5";"                             5";"                             6";"                             5";"                             7";"                             7";"                            36";"                             6"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             3";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           527";"                           563";"                           566";"                           594";"                           660";"                           718";"                           798";"                           864";"                           632"
"Sjælland   ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             6";"                            24";"                            36";"                            79";"                           218";"                           325";"                           363";"                           392";"                           217"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           183";"                           177";"                           174";"                           161";"                           138";"                           134";"                           137";"                           130";"                           146"
;"106 Ejendomsskatter";"";"                            18";"                            24";"                            20";"                            19";"                            22";"                            26";"                            22";"                            13";"                            22"
;"107 Vandafgift";"";"                            26";"                            24";"                            26";"                            32";"                            29";"                            20";"                            20";"                            14";"                            25"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             2";"                            -0";"                             1"
;"109 Renovation";"";"                            23";"                            25";"                            24";"                            24";"                            24";"                            27";"                            25";"                            22";"                            25"
;"110 Forsikringer";"";"                             8";"                             8";"                             8";"                             9";"                             9";"                             8";"                             9";"                             9";"                             9"
;"111 Afdelingens energiforbrug";"";"                            18";"                            13";"                            12";"                            19";"                            17";"                            13";"                            20";"                            30";"                            16"
;"112 Bidrag til boligorganisationen";"";"                            42";"                            38";"                            38";"                            37";"                            34";"                            38";"                            40";"                            42";"                            37"
;"112.1 Administrationsbidrag";"";"                            40";"                            36";"                            36";"                            35";"                            32";"                            36";"                            38";"                            39";"                            35"
;"112.2 Dispositionsfond";"";"                             3";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             3";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            47";"                            44";"                            45";"                            20";"                             0";"                             0";"                             0";"                             0";"                            11"
;"119.9 Variable udgifter i alt";"";"                           106";"                           101";"                            93";"                           100";"                            94";"                            89";"                            92";"                            94";"                            94"
;"114 Renholdelse";"";"                            55";"                            50";"                            52";"                            61";"                            57";"                            53";"                            58";"                            49";"                            56"
;"115 Almindelig vedligeholdelse";"";"                            42";"                            41";"                            27";"                            25";"                            22";"                            19";"                            20";"                            17";"                            23"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             2";"                             1";"                             0";"                             0";"                             0";"                             5";"                             1"
;"116.1 Afholdte udgifter";"";"                            94";"                            71";"                            86";"                            71";"                            66";"                            75";"                            49";"                            19";"                            69"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -94";"                           -70";"                           -84";"                           -70";"                           -66";"                           -74";"                           -49";"                           -14";"                           -68"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             2";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            35";"                            20";"                            18";"                            16";"                            16";"                            15";"                            13";"                             5";"                            16"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -35";"                           -18";"                           -17";"                           -16";"                           -16";"                           -14";"                           -12";"                            -5";"                           -15"
;"118 Særlige aktiviteter";"";"                             1";"                             4";"                             6";"                             8";"                             8";"                             9";"                             8";"                            19";"                             8"
;"119 Diverse udgifter";"";"                             9";"                             4";"                             5";"                             6";"                             6";"                             6";"                             6";"                             5";"                             5"
;"124.8 Henlæggelser i alt";"";"                           116";"                            95";"                            95";"                            84";"                            80";"                            80";"                            73";"                            77";"                            82"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            86";"                            72";"                            75";"                            63";"                            58";"                            62";"                            55";"                            45";"                            62"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            26";"                            19";"                            16";"                            15";"                            16";"                            12";"                            12";"                            14";"                            14"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             3";"                             3";"                             2"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             3";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             3";"                             2";"                             5";"                             4";"                             3";"                             3";"                             3";"                             3"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                            11";"                             0"
;"137 Ekstraordinære udgifter i alt";"";"                           121";"                            88";"                            69";"                            95";"                            63";"                            15";"                            11";"                            43";"                            50"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            98";"                            73";"                            59";"                            45";"                            27";"                             5";"                             3";"                             3";"                            26"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                            23";"                             6";"                             6";"                             7";"                             6";"                             2";"                             2";"                             2";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             1";"                             0";"                            29";"                            19";"                             1";"                             1";"                             0";"                            10"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             4";"                             1";"                             1";"                             5";"                             0";"                             0";"                             0";"                             2"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             0";"                             0";"                             0";"                             1";"                             0";"                            20";"                             0"
;"129.1 Afholdte udgifter";"";"                             0";"                             1";"                             0";"                             0";"                             0";"                             1";"                             0";"                            29";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                             0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -9";"                            -0"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"130.1 Afholdte udgifter";"";"                             5";"                             3";"                             2";"                             4";"                             5";"                             3";"                             3";"                             2";"                             4"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -5";"                            -3";"                            -2";"                            -4";"                            -4";"                            -3";"                            -3";"                            -1";"                            -3"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             0";"                             0";"                            11";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             7";"                             0";"                             0";"                             0";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             2";"                             2";"                             2";"                             2";"                             3";"                             3";"                             0";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             2";"                             1";"                             6";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             2";"                             1";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           531";"                           485";"                           468";"                           518";"                           592";"                           643";"                           676";"                           736";"                           588"
;"140 Overskud i alt";"";"                            14";"                            18";"                            15";"                            15";"                            12";"                             8";"                            11";"                            39";"                            12"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             6";"                             2";"                             4";"                             2";"                             2";"                             2";"                             2";"                             2"
;"140.2 Henlæggelser";"";"                            14";"                            13";"                            14";"                            11";"                             5";"                             6";"                             9";"                            37";"                             9"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             5";"                             0";"                             0";"                             0";"                             1"
;"150 Udgifter og evt. overskud i alt";"";"                           546";"                           504";"                           483";"                           533";"                           604";"                           651";"                           687";"                           775";"                           600"
"Syddanmark ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             7";"                            23";"                            37";"                            78";"                           193";"                           303";"                           347";"                           393";"                           180"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           132";"                           156";"                           161";"                           138";"                           118";"                           115";"                           113";"                           109";"                           130"
;"106 Ejendomsskatter";"";"                            12";"                            21";"                            21";"                            19";"                            20";"                            19";"                            16";"                            15";"                            19"
;"107 Vandafgift";"";"                            16";"                            16";"                            21";"                            19";"                            18";"                            13";"                            12";"                            10";"                            17"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            19";"                            19";"                            20";"                            19";"                            20";"                            23";"                            21";"                            19";"                            20"
;"110 Forsikringer";"";"                             7";"                             7";"                             7";"                             7";"                             8";"                             7";"                             7";"                             7";"                             7"
;"111 Afdelingens energiforbrug";"";"                            13";"                             8";"                            11";"                            14";"                            18";"                            13";"                            15";"                            20";"                            14"
;"112 Bidrag til boligorganisationen";"";"                            40";"                            35";"                            35";"                            34";"                            34";"                            38";"                            40";"                            38";"                            36"
;"112.1 Administrationsbidrag";"";"                            39";"                            34";"                            34";"                            33";"                            32";"                            37";"                            39";"                            37";"                            35"
;"112.2 Dispositionsfond";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            25";"                            49";"                            46";"                            25";"                             2";"                             0";"                             0";"                             0";"                            16"
;"119.9 Variable udgifter i alt";"";"                            74";"                            68";"                            81";"                            82";"                            82";"                            77";"                            79";"                            77";"                            79"
;"114 Renholdelse";"";"                            43";"                            30";"                            40";"                            41";"                            42";"                            41";"                            43";"                            35";"                            41"
;"115 Almindelig vedligeholdelse";"";"                            18";"                            28";"                            29";"                            27";"                            29";"                            23";"                            22";"                            23";"                            26"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             2";"                             2";"                             1";"                             0";"                             1";"                             0";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                            68";"                            82";"                            78";"                            73";"                            69";"                            65";"                            45";"                            17";"                            67"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -68";"                           -80";"                           -76";"                           -72";"                           -68";"                           -65";"                           -45";"                           -16";"                           -66"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            10";"                            14";"                            15";"                            18";"                            14";"                            12";"                            10";"                             2";"                            14"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -10";"                           -14";"                           -14";"                           -17";"                           -13";"                           -11";"                            -9";"                            -2";"                           -13"
;"118 Særlige aktiviteter";"";"                             8";"                             4";"                             6";"                             8";"                             6";"                             7";"                             7";"                             8";"                             7"
;"119 Diverse udgifter";"";"                             5";"                             3";"                             3";"                             4";"                             4";"                             4";"                             5";"                            10";"                             4"
;"124.8 Henlæggelser i alt";"";"                            70";"                            88";"                            84";"                            80";"                            86";"                            66";"                            68";"                            60";"                            77"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            56";"                            70";"                            68";"                            61";"                            63";"                            53";"                            55";"                            48";"                            60"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             9";"                            14";"                            12";"                            14";"                            14";"                            10";"                             9";"                             7";"                            12"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             3";"                             2";"                             1";"                             1";"                             1";"                             1";"                             1";"                             3";"                             1"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             3";"                             2";"                             1";"                             1";"                             0";"                             1";"                             1";"                             2";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             2";"                             2";"                             2";"                             2";"                             5";"                             2";"                             2";"                             3";"                             3"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             1";"                             1";"                             3";"                             0";"                             0";"                             0";"                             1"
;"137 Ekstraordinære udgifter i alt";"";"                           212";"                            98";"                            83";"                            73";"                            62";"                            15";"                             8";"                            13";"                            54"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           208";"                            79";"                            62";"                            50";"                            23";"                             6";"                             2";"                             4";"                            34"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             3";"                            14";"                            12";"                             8";"                             5";"                             2";"                             2";"                             3";"                             6"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             1";"                             6";"                            16";"                             2";"                             0";"                             0";"                             5"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             2";"                             6";"                             1";"                             5";"                             1";"                             0";"                             0";"                             3"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             2";"                             1";"                             0";"                             1";"                             1"
;"129.1 Afholdte udgifter";"";"                             0";"                             0";"                             1";"                             1";"                             3";"                             1";"                             1";"                             1";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -0";"                            -1";"                            -1";"                            -1";"                            -0";"                            -0";"                            -0";"                            -1"
;"130 Tab ved fraflytning";"";"                             1";"                             0";"                             0";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
;"130.1 Afholdte udgifter";"";"                             2";"                             2";"                             2";"                             3";"                             6";"                             3";"                             2";"                             1";"                             3"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -1";"                            -2";"                            -2";"                            -3";"                            -4";"                            -2";"                            -2";"                            -0";"                            -2"
;"131 Andre renter";"";"                             0";"                             2";"                             1";"                             1";"                             2";"                             1";"                             1";"                             2";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             1";"                             1";"                             3";"                             3";"                             2";"                             1";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             0";"                             4";"                             4";"                             1";"                             1";"                             2";"                             2"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                            -0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                            -0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                            -0";"                            -0";"                             0";"                            -0";"                             0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1";"                             0"
;"139 Udgifter i alt";"";"                           495";"                           432";"                           445";"                           450";"                           541";"                           576";"                           614";"                           653";"                           519"
;"140 Overskud i alt";"";"                             8";"                            17";"                            16";"                            16";"                             7";"                            13";"                            17";"                            30";"                            14"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             1";"                             2";"                             1";"                             1";"                             1";"                             2";"                             4";"                             1"
;"140.2 Henlæggelser";"";"                             7";"                            15";"                            15";"                            14";"                             6";"                            12";"                            15";"                            26";"                            12"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           503";"                           449";"                           462";"                           465";"                           548";"                           590";"                           630";"                           683";"                           533"
"Midtjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             3";"                            28";"                            32";"                            81";"                           154";"                           302";"                           344";"                           369";"                           168"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           200";"                           171";"                           175";"                           156";"                           127";"                           126";"                           126";"                           112";"                           143"
;"106 Ejendomsskatter";"";"                            47";"                            23";"                            24";"                            23";"                            21";"                            22";"                            22";"                            20";"                            23"
;"107 Vandafgift";"";"                            25";"                            24";"                            25";"                            28";"                            20";"                            18";"                            15";"                             9";"                            21"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
;"109 Renovation";"";"                            25";"                            20";"                            19";"                            19";"                            21";"                            22";"                            21";"                            18";"                            21"
;"110 Forsikringer";"";"                             6";"                             6";"                             6";"                             7";"                             7";"                             7";"                             7";"                             6";"                             7"
;"111 Afdelingens energiforbrug";"";"                            12";"                            12";"                            13";"                            16";"                            20";"                            15";"                            19";"                            20";"                            17"
;"112 Bidrag til boligorganisationen";"";"                            33";"                            38";"                            38";"                            36";"                            34";"                            40";"                            41";"                            38";"                            37"
;"112.1 Administrationsbidrag";"";"                            33";"                            37";"                            36";"                            35";"                            33";"                            38";"                            39";"                            36";"                            36"
;"112.2 Dispositionsfond";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            53";"                            47";"                            48";"                            26";"                             2";"                             0";"                             0";"                             0";"                            17"
;"119.9 Variable udgifter i alt";"";"                            78";"                            90";"                            89";"                            92";"                            95";"                            86";"                            89";"                            86";"                            90"
;"114 Renholdelse";"";"                            33";"                            40";"                            46";"                            47";"                            46";"                            49";"                            50";"                            47";"                            47"
;"115 Almindelig vedligeholdelse";"";"                            31";"                            38";"                            30";"                            32";"                            35";"                            24";"                            24";"                            26";"                            30"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0"
;"116.1 Afholdte udgifter";"";"                           205";"                            63";"                            70";"                            72";"                            68";"                            65";"                            46";"                            26";"                            65"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -205";"                           -62";"                           -69";"                           -71";"                           -68";"                           -64";"                           -45";"                           -26";"                           -65"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             1";"                             1";"                             2";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            33";"                            21";"                            24";"                            22";"                            20";"                            16";"                            12";"                             5";"                            19"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -32";"                           -20";"                           -22";"                           -20";"                           -18";"                           -15";"                           -12";"                            -5";"                           -18"
;"118 Særlige aktiviteter";"";"                             3";"                             5";"                             6";"                             8";"                             7";"                             7";"                             8";"                             6";"                             7"
;"119 Diverse udgifter";"";"                            10";"                             5";"                             5";"                             5";"                             5";"                             5";"                             6";"                             6";"                             5"
;"124.8 Henlæggelser i alt";"";"                           130";"                           101";"                            99";"                           101";"                            88";"                            79";"                            76";"                            72";"                            90"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            89";"                            76";"                            74";"                            75";"                            65";"                            60";"                            59";"                            56";"                            68"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             0";"                            16";"                            16";"                            15";"                            12";"                            12";"                            10";"                            10";"                            13"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            40";"                             6";"                             6";"                             8";"                             7";"                             4";"                             5";"                             4";"                             6"
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            37";"                             5";"                             6";"                             7";"                             6";"                             4";"                             5";"                             3";"                             6"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             1";"                             2";"                             1";"                             2";"                             3";"                             3";"                             2";"                             2";"                             2"
