"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             0";"                             1";"                             0";"                             1";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           481";"                           521";"                           532";"                           559";"                           622";"                           683";"                           757";"                           729";"                           593"
;"140 Overskud i alt";"";"                            14";"                            14";"                            12";"                            11";"                             9";"                            10";"                            14";"                            37";"                            11"
;"140.1 Afvikling af opsamlet underskud";"";"                             8";"                             5";"                             4";"                             4";"                             2";"                             3";"                             3";"                             1";"                             4"
;"140.2 Henlæggelser";"";"                             6";"                             9";"                             7";"                             7";"                             7";"                             7";"                            11";"                            36";"                             8"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           495";"                           536";"                           544";"                           570";"                           630";"                           693";"                           771";"                           766";"                           605"
"Sjælland   ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             6";"                            21";"                            36";"                            79";"                           218";"                           320";"                           355";"                           366";"                           214"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           182";"                           171";"                           169";"                           161";"                           134";"                           129";"                           132";"                           116";"                           143"
;"106 Ejendomsskatter";"";"                            18";"                            23";"                            20";"                            18";"                            21";"                            25";"                            21";"                            17";"                            22"
;"107 Vandafgift";"";"                            32";"                            23";"                            26";"                            36";"                            28";"                            20";"                            21";"                            11";"                            26"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            22";"                            25";"                            23";"                            23";"                            24";"                            26";"                            24";"                            24";"                            24"
;"110 Forsikringer";"";"                             6";"                             7";"                             7";"                             8";"                             8";"                             7";"                             8";"                             8";"                             8"
;"111 Afdelingens energiforbrug";"";"                            16";"                            13";"                            12";"                            19";"                            18";"                            13";"                            19";"                            18";"                            16"
;"112 Bidrag til boligorganisationen";"";"                            41";"                            36";"                            37";"                            36";"                            33";"                            37";"                            38";"                            38";"                            36"
;"112.1 Administrationsbidrag";"";"                            39";"                            35";"                            35";"                            34";"                            31";"                            35";"                            36";"                            36";"                            34"
;"112.2 Dispositionsfond";"";"                             3";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            46";"                            43";"                            44";"                            20";"                             0";"                             0";"                             0";"                             0";"                            10"
;"119.9 Variable udgifter i alt";"";"                           103";"                            91";"                            91";"                           101";"                            92";"                            87";"                            89";"                            77";"                            92"
;"114 Renholdelse";"";"                            53";"                            46";"                            50";"                            60";"                            54";"                            52";"                            55";"                            38";"                            54"
;"115 Almindelig vedligeholdelse";"";"                            43";"                            32";"                            27";"                            26";"                            23";"                            18";"                            19";"                            27";"                            23"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             3";"                             3";"                             1";"                             1";"                             0";"                             0";"                             0";"                             1"
;"116.1 Afholdte udgifter";"";"                           127";"                            65";"                            74";"                            71";"                            63";"                            71";"                            50";"                             7";"                            66"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -127";"                           -63";"                           -71";"                           -70";"                           -61";"                           -71";"                           -49";"                            -7";"                           -64"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             3";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            22";"                            18";"                            16";"                            16";"                            16";"                            15";"                            13";"                             9";"                            15"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -22";"                           -16";"                           -16";"                           -16";"                           -15";"                           -14";"                           -12";"                            -9";"                           -15"
;"118 Særlige aktiviteter";"";"                             1";"                             4";"                             5";"                             8";"                             7";"                            10";"                             7";"                             8";"                             8"
;"119 Diverse udgifter";"";"                             6";"                             4";"                             4";"                             5";"                             6";"                             6";"                             6";"                             4";"                             5"
;"124.8 Henlæggelser i alt";"";"                           115";"                            88";"                            89";"                            83";"                            77";"                            77";"                            71";"                            93";"                            79"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            86";"                            67";"                            69";"                            63";"                            58";"                            60";"                            53";"                            50";"                            60"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            26";"                            17";"                            16";"                            15";"                            15";"                            12";"                            11";"                            12";"                            14"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             3";"                             6";"                             2"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             3";"                             6";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             3";"                             3";"                             4";"                             4";"                             3";"                             3";"                             2";"                             3"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            22";"                             0"
;"137 Ekstraordinære udgifter i alt";"";"                           120";"                            95";"                            70";"                            76";"                            56";"                            12";"                            10";"                            37";"                            44"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            93";"                            75";"                            60";"                            44";"                            24";"                             4";"                             3";"                             0";"                            25"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                            27";"                             7";"                             6";"                             5";"                             5";"                             2";"                             2";"                            17";"                             4"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             1";"                             0";"                            21";"                            17";"                             0";"                             1";"                             0";"                             8"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             4";"                             1";"                             1";"                             5";"                             0";"                             0";"                             0";"                             2"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             4";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"129.1 Afholdte udgifter";"";"                             0";"                             5";"                             0";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -1";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             0";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"130.1 Afholdte udgifter";"";"                             2";"                             3";"                             2";"                             5";"                             5";"                             4";"                             4";"                             0";"                             4"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -2";"                            -2";"                            -2";"                            -4";"                            -5";"                            -3";"                            -3";"                             0";"                            -4"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             2";"                             1";"                             0";"                             1";"                             9";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             3";"                             1";"                             1";"                             2";"                             2";"                             2";"                             9";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           526";"                           466";"                           456";"                           501";"                           578";"                           625";"                           656";"                           688";"                           571"
;"140 Overskud i alt";"";"                            13";"                            16";"                            15";"                            17";"                             7";"                             8";"                            16";"                            42";"                            12"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             2";"                             3";"                             1";"                             2";"                             2";"                             3";"                             0";"                             2"
;"140.2 Henlæggelser";"";"                            13";"                            14";"                            12";"                            16";"                             5";"                             6";"                            12";"                            41";"                            10"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           539";"                           482";"                           470";"                           517";"                           585";"                           633";"                           672";"                           730";"                           583"
"Syddanmark ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             7";"                            23";"                            37";"                            78";"                           192";"                           301";"                           341";"                           303";"                           177"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           130";"                           151";"                           157";"                           133";"                           113";"                           112";"                           109";"                            91";"                           126"
;"106 Ejendomsskatter";"";"                            12";"                            21";"                            21";"                            19";"                            20";"                            19";"                            15";"                            13";"                            19"
;"107 Vandafgift";"";"                            17";"                            16";"                            21";"                            18";"                            18";"                            14";"                            11";"                             5";"                            17"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            18";"                            18";"                            19";"                            18";"                            19";"                            22";"                            21";"                            16";"                            20"
;"110 Forsikringer";"";"                             6";"                             6";"                             6";"                             7";"                             7";"                             7";"                             7";"                             7";"                             7"
;"111 Afdelingens energiforbrug";"";"                            13";"                             8";"                            11";"                            14";"                            15";"                            12";"                            15";"                            13";"                            13"
;"112 Bidrag til boligorganisationen";"";"                            39";"                            33";"                            33";"                            32";"                            32";"                            37";"                            39";"                            37";"                            34"
;"112.1 Administrationsbidrag";"";"                            37";"                            33";"                            32";"                            31";"                            31";"                            35";"                            37";"                            35";"                            33"
;"112.2 Dispositionsfond";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            25";"                            47";"                            45";"                            24";"                             2";"                             0";"                             0";"                             0";"                            15"
;"119.9 Variable udgifter i alt";"";"                            71";"                            68";"                            78";"                            80";"                            78";"                            75";"                            76";"                            80";"                            76"
;"114 Renholdelse";"";"                            40";"                            29";"                            38";"                            40";"                            41";"                            41";"                            41";"                            37";"                            40"
;"115 Almindelig vedligeholdelse";"";"                            19";"                            27";"                            30";"                            27";"                            27";"                            22";"                            22";"                            26";"                            26"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             4";"                             0";"                             1";"                             1";"                             0";"                             0";"                             5";"                             1"
;"116.1 Afholdte udgifter";"";"                            72";"                            80";"                            74";"                            61";"                            61";"                            59";"                            41";"                            16";"                            61"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -72";"                           -75";"                           -73";"                           -60";"                           -61";"                           -59";"                           -41";"                           -11";"                           -61"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            13";"                            15";"                            14";"                            17";"                            14";"                            11";"                             8";"                             1";"                            13"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -13";"                           -15";"                           -13";"                           -17";"                           -13";"                           -11";"                            -8";"                            -0";"                           -12"
;"118 Særlige aktiviteter";"";"                             9";"                             3";"                             5";"                             8";"                             5";"                             7";"                             7";"                             6";"                             6"
;"119 Diverse udgifter";"";"                             4";"                             4";"                             3";"                             4";"                             3";"                             4";"                             5";"                             6";"                             4"
;"124.8 Henlæggelser i alt";"";"                            69";"                            86";"                            80";"                            77";"                            81";"                            63";"                            67";"                            62";"                            74"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            55";"                            67";"                            64";"                            58";"                            60";"                            50";"                            54";"                            49";"                            57"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             9";"                            15";"                            13";"                            15";"                            13";"                            10";"                             9";"                             7";"                            12"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             3";"                             2";"                             1";"                             1";"                             0";"                             1";"                             1";"                             3";"                             1"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             3";"                             2";"                             1";"                             1";"                             0";"                             1";"                             1";"                             3";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             1";"                             2";"                             2";"                             2";"                             5";"                             2";"                             2";"                             3";"                             3"
;"124 Andre henlæggelser (konto 406)";"";"                             1";"                             0";"                             0";"                             1";"                             3";"                             0";"                             0";"                             0";"                             1"
;"137 Ekstraordinære udgifter i alt";"";"                           222";"                            96";"                            76";"                            67";"                            53";"                            11";"                             7";"                            17";"                            49"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           206";"                            75";"                            56";"                            48";"                            21";"                             4";"                             2";"                             2";"                            31"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                            14";"                            15";"                            12";"                             8";"                             4";"                             2";"                             2";"                             1";"                             6"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             1";"                             6";"                            13";"                             1";"                             0";"                             0";"                             4"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             2";"                             5";"                             1";"                             5";"                             1";"                             0";"                             0";"                             2"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             6";"                             0"
;"129.1 Afholdte udgifter";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1";"                             1";"                             6";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -0";"                            -1";"                            -0";"                            -1";"                            -0";"                            -0";"                            -0";"                            -1"
;"130 Tab ved fraflytning";"";"                             1";"                             0";"                             0";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1"
;"130.1 Afholdte udgifter";"";"                             4";"                             2";"                             2";"                             3";"                             6";"                             2";"                             2";"                             1";"                             3"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -3";"                            -2";"                            -1";"                            -2";"                            -4";"                            -2";"                            -1";"                            -0";"                            -2"
;"131 Andre renter";"";"                             0";"                             2";"                             1";"                             1";"                             1";"                             0";"                             1";"                             5";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             1";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             0";"                             2";"                             4";"                             1";"                             1";"                             1";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                            -0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                            -0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           500";"                           425";"                           428";"                           434";"                           517";"                           562";"                           600";"                           553";"                           502"
;"140 Overskud i alt";"";"                            26";"                            18";"                            16";"                            15";"                             8";"                            13";"                            19";"                            67";"                            14"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             8";"                             1"
;"140.2 Henlæggelser";"";"                            26";"                            17";"                            15";"                            14";"                             7";"                            12";"                            18";"                            59";"                            13"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           526";"                           443";"                           444";"                           449";"                           525";"                           575";"                           619";"                           620";"                           517"
"Midtjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             3";"                            27";"                            31";"                            80";"                           150";"                           296";"                           336";"                           339";"                           161"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           193";"                           167";"                           172";"                           152";"                           124";"                           123";"                           124";"                           101";"                           140"
;"106 Ejendomsskatter";"";"                            46";"                            23";"                            24";"                            23";"                            21";"                            22";"                            21";"                            20";"                            23"
;"107 Vandafgift";"";"                            24";"                            24";"                            25";"                            29";"                            21";"                            19";"                            14";"                             8";"                            22"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            23";"                            19";"                            19";"                            18";"                            21";"                            22";"                            21";"                            17";"                            20"
;"110 Forsikringer";"";"                             5";"                             6";"                             6";"                             6";"                             7";"                             6";"                             6";"                             6";"                             6"
;"111 Afdelingens energiforbrug";"";"                            12";"                            12";"                            13";"                            15";"                            18";"                            15";"                            20";"                            16";"                            16"
;"112 Bidrag til boligorganisationen";"";"                            31";"                            37";"                            37";"                            35";"                            32";"                            39";"                            40";"                            35";"                            36"
;"112.1 Administrationsbidrag";"";"                            31";"                            36";"                            35";"                            33";"                            31";"                            37";"                            38";"                            33";"                            35"
;"112.2 Dispositionsfond";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            51";"                            45";"                            47";"                            25";"                             2";"                             0";"                             0";"                             0";"                            16"
;"119.9 Variable udgifter i alt";"";"                            77";"                            85";"                            86";"                            88";"                            90";"                            83";"                            85";"                            76";"                            87"
;"114 Renholdelse";"";"                            32";"                            38";"                            44";"                            45";"                            44";"                            47";"                            48";"                            40";"                            45"
;"115 Almindelig vedligeholdelse";"";"                            34";"                            36";"                            29";"                            30";"                            33";"                            23";"                            22";"                            23";"                            29"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1"
;"116.1 Afholdte udgifter";"";"                           178";"                            56";"                            73";"                           100";"                            67";"                            56";"                            48";"                            12";"                            70"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -178";"                           -55";"                           -72";"                          -100";"                           -67";"                           -55";"                           -46";"                           -10";"                           -69"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            30";"                            19";"                            21";"                            23";"                            18";"                            16";"                            12";"                             4";"                            18"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -30";"                           -19";"                           -20";"                           -21";"                           -16";"                           -15";"                           -11";"                            -3";"                           -17"
;"118 Særlige aktiviteter";"";"                             3";"                             5";"                             5";"                             7";"                             6";"                             7";"                             7";"                             4";"                             6"
;"119 Diverse udgifter";"";"                             9";"                             5";"                             5";"                             5";"                             6";"                             5";"                             6";"                             6";"                             5"
;"124.8 Henlæggelser i alt";"";"                           129";"                            97";"                            93";"                            96";"                            83";"                            76";"                            74";"                            66";"                            86"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            88";"                            73";"                            69";"                            72";"                            61";"                            57";"                            57";"                            51";"                            64"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             0";"                            16";"                            15";"                            15";"                            11";"                            11";"                            10";"                            11";"                            13"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            38";"                             6";"                             6";"                             7";"                             7";"                             4";"                             4";"                             2";"                             6"
;"122.1 Fælleskonto (konto 403)";"";"                             2";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            36";"                             5";"                             6";"                             7";"                             6";"                             4";"                             4";"                             2";"                             6"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             2";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2"
