"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            21";"                            25";"                            21";"                            18";"                            24";"                            18";"                            19";"                            12";"                             2";"                            20"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -21";"                           -24";"                           -20";"                           -17";"                           -22";"                           -18";"                           -18";"                           -12";"                            -2";"                           -19"
;"118 Særlige aktiviteter";"";"                            11";"                            12";"                            14";"                            14";"                            15";"                            16";"                            12";"                            20";"                             5";"                            14"
;"119 Diverse udgifter";"";"                             7";"                             8";"                             9";"                            10";"                            12";"                            10";"                            11";"                            13";"                             4";"                            10"
;"124.8 Henlæggelser i alt";"";"                           183";"                           205";"                           187";"                           169";"                           168";"                           162";"                           150";"                           121";"                            91";"                           172"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           144";"                           163";"                           155";"                           136";"                           125";"                           120";"                           118";"                            91";"                            68";"                           135"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            11";"                            11";"                            13";"                            12";"                            10";"                            16";"                            14";"                            11";"                            13";"                            12"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            12";"                            19";"                             9";"                             7";"                             9";"                             5";"                             7";"                             8";"                             5";"                             9"
;"122.1 Fælleskonto (konto 403)";"";"                             4";"                             7";"                             3";"                             2";"                             3";"                             1";"                             1";"                             1";"                             2";"                             3"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             9";"                            12";"                             6";"                             5";"                             6";"                             4";"                             5";"                             7";"                             2";"                             6"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                            14";"                            12";"                             8";"                             8";"                            12";"                            11";"                            10";"                            11";"                             6";"                            10"
;"124 Andre henlæggelser (konto 406)";"";"                             2";"                             0";"                             1";"                             6";"                            13";"                            10";"                             2";"                             1";"                             0";"                             6"
;"137 Ekstraordinære udgifter i alt";"";"                           116";"                           121";"                           122";"                           149";"                           178";"                            66";"                            50";"                            54";"                            92";"                           125"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            87";"                            81";"                            92";"                            76";"                            59";"                            27";"                            14";"                             3";"                             0";"                            62"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             6";"                             9";"                            10";"                             9";"                            10";"                             7";"                             6";"                            11";"                             1";"                             9"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             1";"                             6";"                            41";"                            78";"                            15";"                             2";"                             0";"                             0";"                            29"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1";"                            -0";"                             0"
;"129.1 Afholdte udgifter";"";"                             2";"                             2";"                             2";"                             3";"                             5";"                             1";"                             3";"                             4";"                            12";"                             3"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -2";"                            -2";"                            -2";"                            -2";"                            -5";"                            -1";"                            -2";"                            -3";"                           -12";"                            -3"
;"130 Tab ved fraflytning";"";"                             2";"                             1";"                             1";"                             2";"                             0";"                             2";"                             2";"                             2";"                             2";"                             1"
;"130.1 Afholdte udgifter";"";"                            13";"                            15";"                             8";"                             8";"                            12";"                            11";"                            10";"                            10";"                             4";"                            10"
;"130.2 Heraf dækkes af henlæggelser";"";"                           -11";"                           -13";"                            -7";"                            -6";"                           -12";"                            -9";"                            -7";"                            -8";"                            -2";"                            -9"
;"131 Andre renter";"";"                             1";"                             1";"                             2";"                             3";"                             4";"                             2";"                             0";"                            14";"                            84";"                             3"
;"132 Ydelser vedr. driftsstøtte";"";"                            14";"                            20";"                             4";"                             8";"                            12";"                             6";"                             8";"                             4";"                             0";"                             9"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             3";"                             3";"                             2";"                             4";"                             3";"                             4";"                            12";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             2";"                             2";"                             3";"                             6";"                             7";"                             4";"                            12";"                             8";"                             5";"                             6"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             3";"                             3";"                             0";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           745";"                           816";"                           807";"                           823";"                           917";"                           946";"                         1.054";"                         1.157";"                         1.107";"                           884"
;"140 Overskud i alt";"";"                            28";"                            27";"                            20";"                            20";"                            22";"                            31";"                            39";"                            44";"                           101";"                            25"
;"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             5";"                             4";"                             5";"                             5";"                             5";"                             6";"                             4";"                             0";"                             5"
;"140.2 Henlæggelser";"";"                            25";"                            22";"                            15";"                            15";"                            17";"                            26";"                            33";"                            40";"                           101";"                            21"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           774";"                           843";"                           826";"                           843";"                           939";"                           978";"                         1.092";"                         1.201";"                         1.208";"                           909"
"Sjælland   ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            76";"                            45";"                            43";"                            75";"                           218";"                           348";"                           423";"                           588";"                           372";"                           256"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           244";"                           240";"                           234";"                           216";"                           194";"                           180";"                           184";"                           164";"                           134";"                           197"
;"106 Ejendomsskatter";"";"                            31";"                            38";"                            31";"                            29";"                            36";"                            38";"                            27";"                            20";"                             6";"                            33"
;"107 Vandafgift";"";"                            37";"                            30";"                            30";"                            41";"                            35";"                            23";"                            24";"                             8";"                             1";"                            29"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             5";"                             1";"                             2";"                             0";"                             0";"                             2"
;"109 Renovation";"";"                            27";"                            32";"                            30";"                            28";"                            27";"                            31";"                            29";"                            27";"                            15";"                            29"
;"110 Forsikringer";"";"                            12";"                            14";"                            16";"                            16";"                            18";"                            15";"                            15";"                            12";"                            12";"                            16"
;"111 Afdelingens energiforbrug";"";"                            29";"                            19";"                            17";"                            27";"                            23";"                            15";"                            26";"                            37";"                            45";"                            22"
;"112 Bidrag til boligorganisationen";"";"                            60";"                            57";"                            54";"                            53";"                            51";"                            57";"                            60";"                            59";"                            54";"                            55"
;"112.1 Administrationsbidrag";"";"                            56";"                            54";"                            51";"                            49";"                            48";"                            54";"                            57";"                            56";"                            51";"                            52"
;"112.2 Dispositionsfond";"";"                             3";"                             2";"                             2";"                             3";"                             2";"                             2";"                             3";"                             3";"                             3";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            50";"                            50";"                            55";"                            21";"                             0";"                             0";"                             0";"                             0";"                             0";"                            12"
;"119.9 Variable udgifter i alt";"";"                           174";"                           135";"                           129";"                           142";"                           134";"                           126";"                           145";"                           122";"                            80";"                           134"
;"114 Renholdelse";"";"                            91";"                            70";"                            75";"                            86";"                            82";"                            76";"                            79";"                            73";"                            45";"                            78"
;"115 Almindelig vedligeholdelse";"";"                            72";"                            50";"                            34";"                            28";"                            32";"                            32";"                            43";"                            32";"                            30";"                            34"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             2";"                             1";"                             1";"                             2";"                             1";"                             0";"                             0";"                             2";"                             1"
;"116.1 Afholdte udgifter";"";"                            82";"                           113";"                            92";"                           101";"                            88";"                           108";"                            88";"                            63";"                             8";"                            95"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -82";"                          -111";"                           -91";"                          -100";"                           -86";"                          -107";"                           -87";"                           -63";"                            -6";"                           -94"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             3";"                             2";"                             2";"                             1";"                             1";"                             3";"                             1";"                             1";"                             2"
;"117.1 Afholdte udgifter";"";"                            26";"                            34";"                            26";"                            22";"                            24";"                            23";"                            26";"                            17";"                             1";"                            24"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -26";"                           -30";"                           -24";"                           -20";"                           -22";"                           -22";"                           -22";"                           -16";"                             0";"                           -22"
;"118 Særlige aktiviteter";"";"                             5";"                             6";"                            10";"                            19";"                            11";"                            11";"                            13";"                            10";"                             0";"                            12"
;"119 Diverse udgifter";"";"                             6";"                             5";"                             6";"                             6";"                             7";"                             6";"                             8";"                             7";"                             3";"                             6"
;"124.8 Henlæggelser i alt";"";"                           182";"                           160";"                           158";"                           150";"                           154";"                           149";"                           127";"                           110";"                           211";"                           146"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           139";"                           123";"                           123";"                           112";"                            95";"                           112";"                            92";"                            83";"                            71";"                           105"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            34";"                            28";"                            26";"                            22";"                            22";"                            21";"                            18";"                            15";"                            13";"                            21"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             0";"                             1";"                             2";"                             1";"                             3";"                             4";"                             1";"                             8";"                             2"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             2";"                             3";"                             1";"                             8";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             9";"                             8";"                             8";"                            11";"                            14";"                            12";"                            10";"                             9";"                             3";"                            11"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             1";"                             3";"                            22";"                             1";"                             2";"                             2";"                           116";"                             7"
;"137 Ekstraordinære udgifter i alt";"";"                           140";"                           131";"                           114";"                           146";"                           122";"                            54";"                            46";"                            26";"                           105";"                            91"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           107";"                            98";"                            91";"                            58";"                            45";"                            27";"                            12";"                             3";"                             0";"                            43"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             6";"                             8";"                             9";"                             7";"                             8";"                             9";"                             4";"                             1";"                             0";"                             7"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                            18";"                            11";"                             6";"                            60";"                            48";"                             5";"                            12";"                             0";"                             0";"                            25"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             2";"                             3";"                             1";"                             4";"                             6";"                             0";"                             2"
;"129.1 Afholdte udgifter";"";"                             7";"                             6";"                             4";"                            11";"                             8";"                             5";"                            11";"                            17";"                            20";"                             8"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -7";"                            -6";"                            -4";"                           -10";"                            -5";"                            -4";"                            -7";"                           -11";"                           -20";"                            -6"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             2";"                             5";"                             4";"                             3";"                             3";"                             1";"                             0";"                             3"
;"130.1 Afholdte udgifter";"";"                             5";"                             7";"                             9";"                            14";"                            15";"                            12";"                            12";"                             7";"                             0";"                            12"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -5";"                            -6";"                            -7";"                            -9";"                           -11";"                            -9";"                            -9";"                            -6";"                             0";"                            -9"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             4";"                             2";"                             1";"                             0";"                             2";"                           101";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             1";"                             2";"                             3";"                             2";"                             0";"                             0";"                             0";"                             2"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                            10";"                            11";"                             3";"                             3";"                             3";"                             4";"                             7";"                             6";"                             0";"                             4"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             2";"                             4";"                             8";"                             4";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                             0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             4";"                             3";"                             0";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           816";"                           711";"                           678";"                           729";"                           821";"                           858";"                           925";"                         1.010";"                           902";"                           824"
;"140 Overskud i alt";"";"                            33";"                            22";"                            18";"                            16";"                            20";"                            30";"                            30";"                            28";"                            18";"                            24"
;"140.1 Afvikling af opsamlet underskud";"";"                             7";"                             5";"                             3";"                             4";"                             5";"                             8";"                             4";"                             2";"                             0";"                             5"
;"140.2 Henlæggelser";"";"                            26";"                            16";"                            14";"                            13";"                            15";"                            22";"                            26";"                            26";"                            18";"                            19"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           849";"                           732";"                           695";"                           745";"                           841";"                           888";"                           955";"                         1.038";"                           920";"                           847"
"Syddanmark ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            16";"                            61";"                            44";"                            83";"                           189";"                           341";"                           396";"                           508";"                           369";"                           216"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           173";"                           188";"                           199";"                           172";"                           149";"                           147";"                           144";"                           137";"                           133";"                           162"
;"106 Ejendomsskatter";"";"                            18";"                            29";"                            31";"                            28";"                            28";"                            23";"                            20";"                            18";"                            20";"                            26"
;"107 Vandafgift";"";"                            18";"                            13";"                            15";"                            13";"                            13";"                            12";"                            11";"                             6";"                             3";"                            12"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             4";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1";"                             0";"                             0";"                             2"
;"109 Renovation";"";"                            26";"                            26";"                            25";"                            25";"                            25";"                            30";"                            27";"                            24";"                            22";"                            26"
;"110 Forsikringer";"";"                            10";"                            11";"                            11";"                            11";"                            11";"                            11";"                            11";"                            12";"                             9";"                            11"
;"111 Afdelingens energiforbrug";"";"                            13";"                            10";"                            14";"                            18";"                            21";"                            16";"                            19";"                            23";"                            31";"                            17"
;"112 Bidrag til boligorganisationen";"";"                            52";"                            47";"                            47";"                            48";"                            47";"                            53";"                            56";"                            54";"                            48";"                            50"
;"112.1 Administrationsbidrag";"";"                            49";"                            45";"                            46";"                            46";"                            45";"                            51";"                            53";"                            51";"                            45";"                            48"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            31";"                            51";"                            54";"                            27";"                             2";"                             0";"                             0";"                             0";"                             0";"                            17"
;"119.9 Variable udgifter i alt";"";"                           105";"                            98";"                           105";"                           109";"                           113";"                           104";"                           109";"                            94";"                            86";"                           106"
;"114 Renholdelse";"";"                            66";"                            48";"                            57";"                            63";"                            63";"                            62";"                            63";"                            54";"                            62";"                            60"
;"115 Almindelig vedligeholdelse";"";"                            26";"                            36";"                            33";"                            30";"                            31";"                            27";"                            27";"                            24";"                            12";"                            29"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                            -0";"                             2";"                             0";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                            78";"                            96";"                            95";"                            78";"                            82";"                            88";"                            78";"                            54";"                            14";"                            83"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -78";"                           -94";"                           -95";"                           -77";"                           -80";"                           -86";"                           -77";"                           -53";"                           -13";"                           -82"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            18";"                            19";"                            18";"                            18";"                            15";"                            15";"                            14";"                             9";"                             3";"                            16"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -18";"                           -18";"                           -17";"                           -17";"                           -15";"                           -15";"                           -13";"                            -9";"                            -3";"                           -15"
;"118 Særlige aktiviteter";"";"                             8";"                             5";"                             8";"                            11";"                            11";"                             8";"                             9";"                             6";"                             6";"                             9"
;"119 Diverse udgifter";"";"                             4";"                             5";"                             5";"                             4";"                             6";"                             6";"                             8";"                             8";"                             5";"                             6"
;"124.8 Henlæggelser i alt";"";"                            92";"                           122";"                           119";"                           117";"                           120";"                           106";"                            98";"                            82";"                            73";"                           110"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            65";"                           101";"                            95";"                            83";"                            87";"                            83";"                            77";"                            67";"                            51";"                            84"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            11";"                            14";"                            17";"                            17";"                            16";"                            14";"                            13";"                             8";"                            13";"                            15"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             5";"                             2";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1"
;"122.1 Fælleskonto (konto 403)";"";"                             2";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             1";"                             0"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             4";"                             1";"                             1";"                             1";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             4";"                             5";"                             8";"                            12";"                             7";"                             7";"                             4";"                             7";"                             7"
;"124 Andre henlæggelser (konto 406)";"";"                             6";"                             1";"                             0";"                             6";"                             5";"                             2";"                             0";"                             1";"                             0";"                             3"
;"137 Ekstraordinære udgifter i alt";"";"                           247";"                           127";"                           133";"                           128";"                           153";"                            37";"                            27";"                            21";"                            64";"                            97"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           224";"                            96";"                           104";"                            83";"                            75";"                            20";"                            10";"                             5";"                             2";"                            60"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                            16";"                            13";"                            11";"                             6";"                             4";"                             4";"                             2";"                             3";"                             0";"                             6"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             9";"                            10";"                            29";"                            46";"                             4";"                             1";"                             0";"                             0";"                            17"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             1";"                             2";"                             6";"                             1";"                             3";"                             2";"                            11";"                             3"
;"129.1 Afholdte udgifter";"";"                             3";"                             5";"                             7";"                             9";"                            18";"                             8";"                            11";"                            10";"                            15";"                            10"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -3";"                            -4";"                            -6";"                            -7";"                           -12";"                            -7";"                            -8";"                            -8";"                            -4";"                            -8"
;"130 Tab ved fraflytning";"";"                             0";"                             2";"                             1";"                             2";"                             4";"                             2";"                             3";"                             0";"                             0";"                             2"
;"130.1 Afholdte udgifter";"";"                             4";"                             5";"                             6";"                             9";"                            14";"                             8";"                             8";"                             2";"                             1";"                             8"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -3";"                            -5";"                            -7";"                           -10";"                            -6";"                            -5";"                            -2";"                            -1";"                            -6"
;"131 Andre renter";"";"                             7";"                             1";"                             1";"                             1";"                             3";"                             2";"                             2";"                             1";"                            45";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             1";"                             2";"                             1";"                             4";"                             0";"                             0";"                             0";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             3";"                             2";"                             2";"                             2";"                             3";"                             3";"                             6";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             1";"                             1";"                             0";"                             7";"                             2";"                             2";"                             3";"                             5";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                             0";"                            -0";"                            -0";"                             0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             2";"                             2";"                             0";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           632";"                           595";"                           599";"                           610";"                           724";"                           735";"                           774";"                           842";"                           724";"                           692"
;"140 Overskud i alt";"";"                            21";"                            14";"                            18";"                            14";"                            17";"                            24";"                            26";"                            26";"                            53";"                            20"
;"140.1 Afvikling af opsamlet underskud";"";"                             1";"                             1";"                             1";"                             2";"                             2";"                             1";"                             1";"                             1";"                             0";"                             1"
;"140.2 Henlæggelser";"";"                            20";"                            13";"                            17";"                            12";"                            15";"                            23";"                            26";"                            25";"                            53";"                            19"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           653";"                           609";"                           617";"                           624";"                           741";"                           759";"                           800";"                           867";"                           777";"                           711"
"Midtjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             8";"                            64";"                            58";"                            75";"                           151";"                           340";"                           387";"                           474";"                           523";"                           203"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           253";"                           199";"                           211";"                           190";"                           154";"                           153";"                           156";"                           139";"                           133";"                           173"
;"106 Ejendomsskatter";"";"                            68";"                            30";"                            33";"                            32";"                            31";"                            27";"                            24";"                            22";"                            28";"                            30"
;"107 Vandafgift";"";"                            31";"                            22";"                            24";"                            27";"                            16";"                            18";"                            16";"                            10";"                             5";"                            19"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            23";"                            20";"                            20";"                            20";"                            23";"                            25";"                            23";"                            21";"                            17";"                            22"
;"110 Forsikringer";"";"                            10";"                            11";"                            11";"                            11";"                            13";"                            10";"                            11";"                            10";"                            12";"                            11"
;"111 Afdelingens energiforbrug";"";"                            10";"                            17";"                            16";"                            19";"                            24";"                            17";"                            23";"                            23";"                            24";"                            20"
;"112 Bidrag til boligorganisationen";"";"                            45";"                            51";"                            52";"                            51";"                            47";"                            55";"                            58";"                            54";"                            47";"                            52"
;"112.1 Administrationsbidrag";"";"                            45";"                            49";"                            50";"                            49";"                            45";"                            53";"                            56";"                            52";"                            46";"                            50"
;"112.2 Dispositionsfond";"";"                             0";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             1";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            67";"                            49";"                            55";"                            28";"                             1";"                             0";"                             0";"                             0";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                           132";"                           120";"                           119";"                           128";"                           135";"                           127";"                           132";"                           114";"                           108";"                           126"
;"114 Renholdelse";"";"                            69";"                            64";"                            70";"                            72";"                            72";"                            73";"                            75";"                            66";"                            59";"                            71"
;"115 Almindelig vedligeholdelse";"";"                            46";"                            41";"                            34";"                            35";"                            44";"                            33";"                            35";"                            28";"                            36";"                            37"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             2";"                             2";"                             1";"                             2";"                             1"
