"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             2";"                             2";"                             2";"                             3";"                             3";"                             5";"                            11";"                             1";"                             3"
"134 Korrektion vedr. tidligere år";"";"                             6";"                             1";"                             1";"                             3";"                             7";"                             2";"                             2";"                             4";"                            19";"                             4"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             0";"                             2";"                             4";"                             1";"                             1";"                             0";"                             0";"                             2"
"139 Udgifter i alt";"";"                           767";"                           744";"                           739";"                           748";"                           839";"                           879";"                           965";"                           996";"                           922";"                           805"
"140 Overskud i alt";"";"                            18";"                            16";"                            18";"                            17";"                            19";"                            32";"                            22";"                            20";"                            61";"                            20"
"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             2";"                             5";"                             3";"                             4";"                             5";"                             3";"                             2";"                             0";"                             4"
"140.2 Henlæggelser";"";"                            15";"                            14";"                            13";"                            14";"                            15";"                            27";"                            19";"                            18";"                            61";"                            16"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           785";"                           760";"                           757";"                           765";"                           858";"                           911";"                           986";"                         1.016";"                           983";"                           825"

