"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;"Alle"
"115 Almindelig vedligeholdelse";"";"                            33";"                            34";"                            34";"                            32";"                            30";"                            29";"                            26";"                            25";"                            31"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0"
"116.1 Afholdte udgifter";"";"                            74";"                            78";"                            78";"                            72";"                            65";"                            63";"                            52";"                            25";"                            69"
"116.2 Heraf dækkes af henlæggelser";"";"                           -74";"                           -78";"                           -77";"                           -71";"                           -65";"                           -62";"                           -52";"                           -25";"                           -69"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1"
"117.1 Afholdte udgifter";"";"                            20";"                            20";"                            18";"                            17";"                            16";"                            15";"                            11";"                             5";"                            17"
"117.2 Heraf dækkes af henlæggelser";"";"                           -19";"                           -19";"                           -17";"                           -17";"                           -14";"                           -14";"                           -11";"                            -5";"                           -16"
"118 Særlige aktiviteter";"";"                             8";"                             7";"                             9";"                            10";"                             8";"                            12";"                             7";"                            10";"                             9"
"119 Diverse udgifter";"";"                             6";"                             5";"                             6";"                             6";"                             7";"                             6";"                             7";"                            10";"                             6"
"124.8 Henlæggelser i alt";"";"                            96";"                           102";"                            99";"                            92";"                            90";"                            73";"                            76";"                            78";"                            91"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            71";"                            78";"                            77";"                            70";"                            64";"                            55";"                            60";"                            53";"                            69"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             7";"                            11";"                            11";"                            13";"                            11";"                            11";"                             8";"                             7";"                            11"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            12";"                            10";"                             6";"                             5";"                             4";"                             3";"                             5";"                            11";"                             5"
"122.1 Fælleskonto (konto 403)";"";"                             3";"                             3";"                             2";"                             1";"                             1";"                             0";"                             1";"                             1";"                             1"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             9";"                             7";"                             4";"                             4";"                             3";"                             3";"                             4";"                            10";"                             4"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             4";"                             3";"                             3";"                             3";"                             4";"                             3";"                             2";"                             5";"                             3"
"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             2";"                             1";"                             7";"                             1";"                             0";"                             2";"                             2"
"137 Ekstraordinære udgifter i alt";"";"                           106";"                            89";"                            77";"                            79";"                            75";"                            21";"                            18";"                            23";"                            69"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            89";"                            68";"                            63";"                            47";"                            29";"                             5";"                             4";"                             1";"                            42"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                             4";"                             7";"                             7";"                             6";"                             5";"                             2";"                             3";"                             3";"                             5"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             1";"                            18";"                            25";"                             2";"                             0";"                             0";"                            11"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             2";"                             2";"                             2";"                             1";"                             4";"                             1";"                             1";"                             0";"                             2"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             2";"                             0"
"129.1 Afholdte udgifter";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -1";"                            -0";"                            -0";"                            -1";"                            -0"
"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
"130.1 Afholdte udgifter";"";"                             4";"                             4";"                             3";"                             3";"                             5";"                             4";"                             2";"                             2";"                             3"
"130.2 Heraf dækkes af henlæggelser";"";"                            -3";"                            -3";"                            -2";"                            -3";"                            -4";"                            -3";"                            -2";"                            -2";"                            -3"
"131 Andre renter";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             6";"                             1"
"132 Ydelser vedr. driftsstøtte";"";"                             9";"                             9";"                             1";"                             3";"                             3";"                             3";"                             3";"                             2";"                             3"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             2";"                             1";"                             3";"                             4";"                             4";"                             2";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             1";"                             0";"                             0";"                             1";"                             2";"                             2";"                             2";"                             6";"                             1"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"                             0";"                             1"
"139 Udgifter i alt";"";"                           506";"                           510";"                           507";"                           526";"                           587";"                           656";"                           711";"                           724";"                           562"
"140 Overskud i alt";"";"                            14";"                            13";"                            11";"                            12";"                             9";"                            11";"                            14";"                            35";"                            12"
"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             2";"                             2";"                             2";"                             2";"                             1";"                             3";"                             3";"                             2"
"140.2 Henlæggelser";"";"                            11";"                            10";"                             9";"                            10";"                             6";"                            10";"                            11";"                            31";"                             9"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             2";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           520";"                           523";"                           518";"                           538";"                           596";"                           667";"                           725";"                           759";"                           573"

