"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           265";"                           311";"                           250";"                           228";"                           208";"                           212";"                           232";"                           201";"                           132";"                           232"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             5";"                             3";"                             5";"                             5";"                             5";"                             6";"                             6";"                             5";"                             8";"                             5"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            12";"                            17";"                            11";"                            11";"                             9";"                             4";"                             8";"                            11";"                             3";"                            10"
"122.1 Fælleskonto (konto 403)";"";"                             0";"                             0";"                             2";"                             1";"                             1";"                             0";"                             1";"                             0";"                             0";"                             1"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            12";"                            16";"                             9";"                            10";"                             8";"                             4";"                             8";"                            11";"                             3";"                             9"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             3";"                             3";"                             3";"                             2";"                             1";"                             3";"                             1";"                             2";"                             3"
"124 Andre henlæggelser (konto 406)";"";"                             9";"                             2";"                            21";"                            19";"                            42";"                            22";"                             3";"                             2";"                             2";"                            20"
"137 Ekstraordinære udgifter i alt";"";"                           282";"                           233";"                           263";"                           307";"                           354";"                           175";"                           122";"                            79";"                            88";"                           259"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           123";"                            94";"                           110";"                           112";"                            94";"                            47";"                            31";"                             5";"                             1";"                            88"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                             6";"                            10";"                            20";"                            12";"                             8";"                            12";"                             5";"                             4";"                             3";"                            11"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                            32";"                             9";"                            55";"                            84";"                           151";"                            35";"                             4";"                             1";"                             0";"                            66"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129.1 Afholdte udgifter";"";"                             1";"                             2";"                             2";"                             3";"                             2";"                             1";"                             2";"                             3";"                             3";"                             2"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -2";"                            -2";"                            -3";"                            -2";"                            -1";"                            -2";"                            -3";"                            -2";"                            -2"
"130 Tab ved fraflytning";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"130.1 Afholdte udgifter";"";"                             7";"                             8";"                             6";"                             6";"                             7";"                             5";"                             8";"                             5";"                             3";"                             6"
"130.2 Heraf dækkes af henlæggelser";"";"                            -3";"                            -5";"                            -3";"                            -3";"                            -3";"                            -3";"                            -4";"                            -2";"                            -1";"                            -3"
"131 Andre renter";"";"                           107";"                            83";"                            62";"                            62";"                            79";"                            58";"                            65";"                            61";"                            70";"                            70"
"132 Ydelser vedr. driftsstøtte";"";"                            12";"                            21";"                             9";"                            13";"                            10";"                            14";"                            12";"                             5";"                             2";"                            12"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             4";"                             1"
"134 Korrektion vedr. tidligere år";"";"                             1";"                            13";"                             5";"                            18";"                             6";"                             3";"                             3";"                             2";"                             7";"                             8"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             1";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             1";"                             4";"                             4";"                             4";"                             1";"                             0";"                             0";"                             2"
"139 Udgifter i alt";"";"                         1.026";"                         1.096";"                         1.065";"                         1.076";"                         1.173";"                         1.148";"                         1.295";"                         1.362";"                         1.319";"                         1.131"
"140 Overskud i alt";"";"                            28";"                            14";"                            16";"                            24";"                            21";"                            19";"                            11";"                            15";"                            26";"                            20"
"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             2";"                             2";"                             3";"                             6";"                             1";"                             1";"                             5";"                             1";"                             3"
"140.2 Henlæggelser";"";"                            25";"                            12";"                            14";"                            21";"                            15";"                            18";"                            11";"                            10";"                            26";"                            17"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                         1.053";"                         1.110";"                         1.081";"                         1.100";"                         1.194";"                         1.167";"                         1.306";"                         1.377";"                         1.345";"                         1.151"

"Antal afdelinger";"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"";"                            56";"                            95";"                           169";"                           119";"                           110";"                           127";"                           174";"                            86";"                           115";"                         1.051"

"Antal boliger";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"";"";"                         9.315";"                        16.153";"                        33.334";"                        33.979";"                        27.018";"                        11.882";"                        10.851";"                         4.696";"                         7.323";"                       154.551"

"Antal kvm";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"";"";"                       676.373";"                     1.039.761";"                     2.509.696";"                     2.564.022";"                     2.284.664";"                       913.602";"                       748.225";"                       344.651";"                       561.465";"                    11.642.459"

