"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;"Alle"
"137 Ekstraordinære udgifter i alt";"";"                           116";"                            95";"                            82";"                            87";"                            86";"                            26";"                            24";"                            25";"                            76"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            95";"                            70";"                            67";"                            51";"                            33";"                             6";"                             8";"                             1";"                            45"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                             4";"                             6";"                             6";"                             5";"                             5";"                             3";"                             3";"                             1";"                             5"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             1";"                             1";"                            19";"                            28";"                             3";"                             0";"                             0";"                            12"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             2";"                             3";"                             2";"                             2";"                             4";"                             1";"                             1";"                             0";"                             2"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             2";"                             2";"                             9";"                             1"
"129.1 Afholdte udgifter";"";"                             1";"                             1";"                             1";"                             1";"                             4";"                             2";"                             2";"                            13";"                             2"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -0";"                            -1";"                            -1";"                            -2";"                            -1";"                            -1";"                            -4";"                            -1"
"130 Tab ved fraflytning";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
"130.1 Afholdte udgifter";"";"                             3";"                             4";"                             3";"                             4";"                             7";"                             5";"                             3";"                             2";"                             4"
"130.2 Heraf dækkes af henlæggelser";"";"                            -3";"                            -3";"                            -3";"                            -3";"                            -5";"                            -4";"                            -2";"                            -1";"                            -3"
"131 Andre renter";"";"                             1";"                             1";"                             1";"                             0";"                             2";"                             0";"                             1";"                             5";"                             1"
"132 Ydelser vedr. driftsstøtte";"";"                            10";"                            12";"                             2";"                             3";"                             3";"                             4";"                             4";"                             2";"                             4"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             2";"                             1";"                             2";"                             1";"                             2";"                             4";"                             3";"                             2";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             1";"                             0";"                             0";"                             2";"                             4";"                             2";"                             2";"                             3";"                             2"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"                             0";"                             1"
"139 Udgifter i alt";"";"                           545";"                           546";"                           544";"                           558";"                           627";"                           698";"                           748";"                           766";"                           601"
"140 Overskud i alt";"";"                            16";"                            14";"                            13";"                            11";"                             7";"                            11";"                            14";"                            29";"                            12"
"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             2";"                             3";"                             2";"                             1";"                             3";"                             3";"                             3";"                             2"
"140.2 Henlæggelser";"";"                            13";"                            12";"                            10";"                             9";"                             6";"                             7";"                            11";"                            25";"                             9"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           561";"                           560";"                           557";"                           569";"                           634";"                           709";"                           762";"                           795";"                           612"

