"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             5";"                             9";"                            35";"                            69";"                            11";"                             6";"                             0";"                             0";"                            27"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129 Tab ved lejelejlighed m.v.";"";"                             1";"                             2";"                             0";"                             2";"                             1";"                             0";"                             1";"                             3";"                             8";"                             1"
"129.1 Afholdte udgifter";"";"                             2";"                             5";"                             3";"                             5";"                             9";"                             4";"                             6";"                            11";"                            18";"                             6"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -3";"                            -3";"                            -3";"                            -8";"                            -4";"                            -5";"                            -8";"                            -9";"                            -5"
"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             0";"                             0";"                             1";"                             0";"                             1"
"130.1 Afholdte udgifter";"";"                            13";"                             9";"                             7";"                             8";"                            13";"                             9";"                             8";"                             6";"                             2";"                             9"
"130.2 Heraf dækkes af henlæggelser";"";"                           -12";"                            -7";"                            -5";"                            -6";"                            -7";"                            -6";"                            -6";"                            -4";"                            -1";"                            -6"
"131 Andre renter";"";"                             1";"                             1";"                             1";"                             2";"                             5";"                             2";"                             1";"                             1";"                            13";"                             2"
"132 Ydelser vedr. driftsstøtte";"";"                            10";"                            11";"                             4";"                             5";"                             7";"                             5";"                             5";"                             2";"                             0";"                             6"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             2";"                             1";"                             2";"                             3";"                             2";"                             3";"                             6";"                             4";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             2";"                             2";"                             1";"                             3";"                             8";"                             5";"                             3";"                             4";"                             9";"                             4"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0";"                             0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             0";"                             3";"                             4";"                             1";"                             1";"                             0";"                             0";"                             2"
"139 Udgifter i alt";"";"                           773";"                           765";"                           764";"                           769";"                           860";"                           906";"                           980";"                         1.017";"                           964";"                           828"
"140 Overskud i alt";"";"                            35";"                            26";"                            24";"                            25";"                            28";"                            32";"                            29";"                            26";"                            58";"                            28"
"140.1 Afvikling af opsamlet underskud";"";"                             4";"                             5";"                             7";"                             4";"                             7";"                             5";"                             4";"                             2";"                             6";"                             5"
"140.2 Henlæggelser";"";"                            31";"                            21";"                            18";"                            21";"                            21";"                            27";"                            25";"                            25";"                            52";"                            22"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           808";"                           792";"                           788";"                           794";"                           888";"                           938";"                         1.009";"                         1.043";"                         1.022";"                           856"

