"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             2";"                             0";"                             1";"                             0";"                             2";"                             1";"                             2";"                             1";"                             1"
"116.1 Afholdte udgifter";"";"                           140";"                           133";"                           144";"                           127";"                           118";"                           132";"                           129";"                            93";"                            56";"                           126"
"116.2 Heraf dækkes af henlæggelser";"";"                          -140";"                          -131";"                          -144";"                          -126";"                          -118";"                          -130";"                          -128";"                           -91";"                           -55";"                          -125"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"117.1 Afholdte udgifter";"";"                            16";"                            17";"                            16";"                            16";"                            14";"                            13";"                            15";"                            12";"                             7";"                            15"
"117.2 Heraf dækkes af henlæggelser";"";"                           -16";"                           -17";"                           -16";"                           -16";"                           -14";"                           -13";"                           -14";"                           -12";"                            -7";"                           -15"
"118 Særlige aktiviteter";"";"                            11";"                            11";"                            13";"                            15";"                            12";"                            14";"                            11";"                            13";"                             8";"                            13"
"119 Diverse udgifter";"";"                             7";"                             8";"                             8";"                             9";"                             9";"                             8";"                            10";"                             9";"                            13";"                             9"
"124.8 Henlæggelser i alt";"";"                           258";"                           246";"                           243";"                           221";"                           216";"                           204";"                           193";"                           154";"                           118";"                           218"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           229";"                           206";"                           189";"                           170";"                           158";"                           165";"                           167";"                           131";"                            98";"                           172"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             9";"                            13";"                            13";"                            12";"                            11";"                            11";"                            13";"                            10";"                             8";"                            12"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            15";"                            12";"                             8";"                             7";"                             7";"                             5";"                             6";"                             6";"                             5";"                             8"
"122.1 Fælleskonto (konto 403)";"";"                             4";"                             4";"                             3";"                             2";"                             3";"                             1";"                             2";"                             1";"                             1";"                             2"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            11";"                             8";"                             6";"                             6";"                             4";"                             3";"                             5";"                             5";"                             3";"                             5"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             4";"                             4";"                             3";"                             3";"                             4";"                             2";"                             4";"                             2";"                             3";"                             3"
"124 Andre henlæggelser (konto 406)";"";"                             1";"                            11";"                            30";"                            28";"                            36";"                            21";"                             2";"                             5";"                             4";"                            23"
"137 Ekstraordinære udgifter i alt";"";"                           139";"                           154";"                           149";"                           179";"                           237";"                            86";"                            53";"                            30";"                            20";"                           154"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           110";"                           110";"                            99";"                           102";"                            80";"                            33";"                            26";"                            11";"                             3";"                            80"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                            10";"                             8";"                            15";"                             9";"                            11";"                             6";"                             4";"                             4";"                             1";"                            10"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             7";"                            14";"                            23";"                            50";"                           115";"                            25";"                             8";"                             0";"                             0";"                            45"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             1";"                             0"
"129.1 Afholdte udgifter";"";"                             2";"                             3";"                             3";"                             4";"                             3";"                             4";"                             4";"                             4";"                             3";"                             3"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -2";"                            -3";"                            -2";"                            -3";"                            -3";"                            -4";"                            -3";"                            -4";"                            -3";"                            -3"
"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"130.1 Afholdte udgifter";"";"                             4";"                             5";"                             5";"                             5";"                             6";"                             6";"                             6";"                             3";"                             1";"                             5"
"130.2 Heraf dækkes af henlæggelser";"";"                            -3";"                            -4";"                            -3";"                            -3";"                            -3";"                            -3";"                            -3";"                            -1";"                            -1";"                            -3"
"131 Andre renter";"";"                             1";"                             1";"                             1";"                             1";"                             3";"                             1";"                             0";"                             1";"                             2";"                             2"
"132 Ydelser vedr. driftsstøtte";"";"                             9";"                            11";"                             8";"                             7";"                             9";"                             5";"                             6";"                             3";"                             1";"                             7"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             1";"                             1";"                             4";"                             2";"                             3";"                             5";"                             3";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             1";"                             6";"                             2";"                             3";"                            11";"                             8";"                             5";"                             5";"                             6";"                             5"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0";"                            -0";"                            -0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             0";"                             4";"                             4";"                             5";"                             1";"                             0";"                             1";"                             2"
"139 Udgifter i alt";"";"                           820";"                           844";"                           839";"                           838";"                           940";"                           972";"                         1.035";"                         1.062";"                         1.030";"                           900"
"140 Overskud i alt";"";"                            31";"                            28";"                            31";"                            30";"                            34";"                            42";"                            27";"                            31";"                            26";"                            31"
"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             3";"                             9";"                             3";"                             8";"                             6";"                             3";"                             2";"                             4";"                             5"
"140.2 Henlæggelser";"";"                            31";"                            25";"                            22";"                            26";"                            26";"                            36";"                            25";"                            28";"                            22";"                            26"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           852";"                           872";"                           870";"                           867";"                           973";"                         1.014";"                         1.062";"                         1.092";"                         1.056";"                           931"

